"subj_code","condition","desktop_conf","attent_conf","latent_feature","LS_bias_probe_stim","scale_orient","instr_tests","LS_bias_probe_rating","explanation","bluefeet_choice","bluebeak_choice","typical_choice","bluefeet_bluebeak_choice","age","gender","tech_issues","rating_rec"
"AyFibcGY0lAc",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"There's a 5% chance of either mutation. We can't see the ducks feet so have no idea if they are blue or not, so we can only go on the beak info. It's a 5% chance of either ","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",31,"1: male",NA,0
"bJUt49YooEPS",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"There was only 2 chances of the duck having a blue beak, it has one of the two mutations. The last mutation has been ruled out because the last mutation does not cause the duck to have a blue beak.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",23,"2: female","n/a",0
"BXxdDb3t18rW",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"As it was impossible to see the duck's feet, we did not know whether they were yellow or blue. So there was a 5% chance that the Bk1 mutation was the cause of its blue beak, and an equal (5%) chance that it was caused by the BkFt2 mutation. It was also possible that the duck carried both Bk1 and BkFt2. So all explanations of the duck's blue beak are equally valid. ","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",60,"2: female","None!",0
"eIa7dYZu7vT1",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"We can't see the feet of the duck so we don't know if it has blue feet. Therefore there's no way to determine which mutation of the two it has, so based on all the information we have, we can only say there's a 50/50 chance.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",25,"2: female",NA,0
"Fiu6PMVCDrKv",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,4,"Slightly more likely to be the beak only mutation, just because I can see it on the picture. But statistically, I suppose the probability is still the same than the Beak+Feet mutation","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",26,"1: male",NA,-1
"fw44jVeRNDuY",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"The duck had a blue beak but the feet of the duck were not visible - he may also have blue feet","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",66,"2: female",NA,0
"fx3LMdQQk99X",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,2,"The blue beak can be seen as a definite, but there is only a 5% chance that the duck also has blue feet, so the probability dictates the duck will have a blue beak only.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",35,"1: male",NA,-3
"GtgyPi7MjR9m",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",2,5,"You cannot see the feet of the duck - could be blue or could be regular colour.  There are only two possibilities so only 50% probability of either.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",57,"1: male",NA,0
"Invi6KTsStjn",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"It was impossible to see the feet of the duck because of the water hence the only available information was the duck had a blue beak. BK1 and BKFT2 both can cause blue beak and are independent of each other hence both are equally likely to be the case","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",33,"1: male",NA,0
"j1vzlyPKDw61",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,3,"it definitely has a blue beak but feet cannot be seen","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet) and Ft1 mutation (blue feet).",38,"1: male","n.a",-2
"Jab2bquZ7APo",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Can't see feet to see if it has blue feet as well as a blue beak, so could be either","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",53,"2: female",NA,0
"JwpgZUSZfQJS",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"i can only see the blue beak and both mutations are equally likely in the population","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",44,"1: male",NA,0
"KSo4qQEnMMXc",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Well it obviously has a blue beak. I can't see it's feet. It's 5% likely whether it's blue beak or both, so I can't go with one or the other.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",29,"4: prefer not to say",NA,0
"L4vXbmisCTPa",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,3,"The only information we have is that the beak is blue, since there's a 5% chance of it being the bkft mutation we can't say with certainty that this is the case with the duck depicted. However since the colour of the ducks feet are unknown to us we must assume that there is some possibility it could be either of the two mutations.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",30,"1: male",NA,-2
"m1Dy1iuGwVim",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,3,"The duck has either BF or B mutation gene. We don’t know the colour of its feet.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",43,"1: male",NA,-2
"MDFaVSjXPQeA",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"It couldn't be the Ft1 mutation so I thought there was a 50% chance of each of the others","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",38,"2: female",NA,0
"nq246H0LQ8n1",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Given it's a 5% chance of each mutation occuring, I figured it was equally likely the duck could have just the blue beak that is visible, or also have the blue feet and beak mutation as well.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",29,"2: female","N/A",0
"nYF85A5yQsNk",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Could only see the beak, not the feet. Either could cause the blue beak so 50/50","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",29,"1: male",NA,0
"ogXwNB6JgQeF",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"the duck could also have blue feet, I believe there is a 50/50 chance of having blue feet or orange feet","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",34,"2: female",NA,0
"oMtG7Q1BYmXy",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"You have no idea what colour the duck's feet are, so could either have blue beak or both blue beak or feet, and as both are independent, would be equally likely.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",30,"1: male",NA,0
"OozA2eI5vrOV",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"we can only see the beak but there is a 5% chance of each mutation so both are equally likely","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",54,"2: female",NA,0
"ozIaXXHDb0UN",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,0,"The duck seems to only have a blue beak","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",30,"2: female","No errors in the study everything was perfect",-5
"phWhbukDAdMF",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Because they both have the same overall probability (5%), the chances of the duck being either BkFt2 or Bk1 are equal. This is because both of these mutations cause the beak to turn blue like in the picture provided. We can't see the feet of the duck but there's a 50% chance that they're blue, and a 50% chance that they're yellow.  

","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",33,"1: male","I didn't spot any errors. ",0
"pJ16bEknBafX",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Since it had a blue beak we know it had wither the Bk1 mutation or the Bkft2 mutation or both. Since they have the same probability of occurring it is still equal chance to have both.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",37,"1: male",NA,0
"pk5DXXPfHk2Q",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"It is known that the duck in the picture has a blue beak. This does not rule out the possibility that the feet of the duck is also blue. It is like a Schrodinger effect. The feet of the duck has an equal chance of being blue as it does being the normal orange.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",24,"1: male","No issues.",0
"RIf9QJUAoAHY",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,1,"you could see the blue beak and with only a 5% chance of another mutation without being able to see the feet there is a high chance that the blue beak is the only mutation.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",51,"1: male","all looked good to me, no issues to report.",-4
"RZ2RA11ndPHN",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"As I could not see the ducks feet as it was swimming in the water I chose both as it has a blue beak and it has a 5% chance of blue feet which cannot be determined.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",57,"2: female",NA,0
"SnDrWVzNUUgo",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Mutations equally likely. Can't see feet","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",23,"1: male",NA,0
"tIzzgA6kIjfO",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"I only have information on the beak and there should be roughly the same amount of ducks with the BkFt2 and Bk1 mutation so equal chance seems sensible and logical.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",35,"1: male",NA,0
"TS7a1kAHQOrc",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"They are equally likely since the mutation rate is the same at 5% for each mutation and we have incomplete information as to whether or not the feet of the duck are blue.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",57,"1: male","none",0
"UdLhxSg2U0wH",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Because you could only see a blue beak. So the Ft1 gene was not present. But there was a 5% chance it was BkFt2 and a 5% chance it was Bk1.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a Bk1 mutation (blue beak only) and a Ft1 mutation (blue feet only).",33,"2: female",NA,0
"W4TlPmtRwfBh",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Blue beak can be caused by either BkFt2 or Bk1 mutation. Each is equally likely and independent.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",65,"1: male","None seen",0
"W8zYMpv8INJW",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"I couldn't see the ducks feet so don't know what colour they are.  It had a blue beak so it could have been either Bk1 or BkFt2.  Each of these has the same probability so I chose equal.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",47,"1: male",NA,0
"WM6OcXTurXwF",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,0,"you could only see the duck's beak which was blue.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",49,"2: female",NA,-5
"xEV7ew017xki",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Because the is equal chance that either mutation could happen as neither has an influence on the other","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet) and Ft1 mutation (blue feet).",61,"1: male","No problems",0
"xHYS9hCigIqO",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"The beak was blue, so BkFt2 and Bk1 are both equally likely because these mutations are both at a variance of 5%, it is true however, the feet aren't visible, but as the beak shows signs of the Bk1 mutation, we must also assume the chance of this being BkFt2 are also as likely as just Bk1","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",29,"1: male","None",0
"XVp6UfGXFgNx",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"The chance of having either mutation is equal, since you cannot see the duck's feet.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",34,"1: male",NA,0
"yfG6mvV8ziM8",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Both a 5% chance of blue feet or blue beak","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet) and Ft1 mutation (blue feet).",43,"1: male","no errors",0
"Z9Qo1JIjculi",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"I think it is both equally likely because you could only see the blue beak and not the feet as they were in the water","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",48,"2: female",NA,0
"0njfuSKDc4mN",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,4,"I could guarantee the duck had the blue feet gene but not the blue beak gene although there is a chance it did","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",38,"1: male",NA,-1
"2u6wl9F6keHA",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,3,"as you can see it has blue feet but there is still the chance it could also have a blue beek that is hidden in the water.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",37,"1: male","no",-2
"5ZdzA16zkr71",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"With the information available, I was only able to give an answer based on what I could see and as there is equal probability of the duck either being Ft1 or BKFT2 due to the colour of the feet I decided to give 50/50 probability","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",55,"1: male","None Thank you",0
"5kL23GcudHxB",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"unable to see beak - so exact mutation unknown","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",33,"1: male",NA,0
"8l2B8Cqv752O",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"Since the duck had his head in the water, I had to make the best guess that the duck may have also had a blue beak, but it is also likely that the duck only had blue feet and an unaltered beak.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",45,"2: female",NA,0
"8pleuSiEDdJB",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"You could only see the feet of the duck, which were blue.  You could not see the beak.  Therefore there is an equal chance of having both mutations.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",35,"2: female","I believe at one point there was a spelling error, but other than that I idn't experience any other problems.",0
"99Ze84DY1NIG",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"you couldn't see the ducks head, and each mutation has the same (5%) probability.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",38,"1: male","no errors or issues",0
"9P69ZxdDDfSG",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"Since there is a 5% chance in all of them, its likely that it can be both or just one. ","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",35,"2: female",NA,0
"9ZHjESZ5mcTT",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"couldn't see the beak and equally likely to be both.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",32,"1: male","none",0
"B3b7dUfF3IA2",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"If the duck has the blue feet mutation it could equally likely have just the blue ft mutation or the blue beak plus blue ft mutation.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",57,"2: female","No errors",0
"BB4e2KDCO2mT",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",2,0,"The duck seemed to have blue feet and that would mean it has Ft1 mutation ","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",24,"2: female","Nothing to report, thank you.",-5
"BeVJRDhi5daA",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"Since both mutations are equally likely and are independent of each other we don't know if it has a blue beak or not.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",21,"1: male",NA,0
"BpJX9o2XuCjC",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"The duck beak is underwater so u can't tell which mutation is present. so there is a equal chance of it being both. ","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",35,"2: female",NA,0
"BwoL14OpRLgH",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"We know the duck definitely has blue feet so it could be an BkFt2 or a Ft1.  We don't know the colour of it's beak as it is hidden so without any further information, and with the prevalence of both types being equal (5% of both in the whole population) there is an equal chance it's beak will be blue or yellow so an equal change of it being either type.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",48,"2: female",NA,0
"ClRB4Tm1MIEr",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,5,"Without seeing the duck's beak, the only thing we know is that it has blue feet. Since the BkFt2 mutation and the Ft1 mutation both occur with equal frequency in the population, the individual is equally likely to have each of these mutations.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",34,"1: male","No errors",0
"DXccPBmd9eJG",3,"1: I confirm","1: I will take it seriously","feet","probe_amb_feet.png","narrow_left",1,3,"Because the duck shown has blue feet, therefore is likely to have Ft1 mutation. The beak can't be seen so it is possible that the beak is also blue in which case it would be an example of BkFt1 mutation.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",75,"1: male",NA,-2
