subj_code;desktop_conf;attent_conf;scale_orient;DV_rating;Features ;Knowledge;explanation;Correct explanation ;Unclear explanation ;Inferred absence of latent feature due to visibility;Inferred absence of latent feature for any reason
hooJ4kQ1pUp1;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;With no other information it feels he is equally likely to have a gold tooth as not so could be either...;1;0;0;0
j89VQvetaqYM;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;100% of the tribe wear colourfull head-dresses, but the 50% who are fishers can be identified by a gold molar tooth. As we only know that this individual has a colourfull head-dress it is 50-50 whether they are a hunter or fisher.;1;0;0;0
JyV9QLm0Kyi5;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;The spear fishermen have colourful headdresses - so have the hunters.  But, half of the fishermen also have a golden molar tooth.  Therefore there is a 50-50 chance that a fisherman will also have a golden molar tooth.;1;0;0;0
L7ao3sNDDhSs;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;because you cannot visably notice a back tooth on someone straight away. where as a head rest is more noticable;0;1;0;0
nftNVk1styCN;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;Unless I see the golden molar I have no idea which tribe they belong to;1;0;0;0
pCyyx5a0bkFB;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;All of the Tokolo tribesmen wear the head dress and half of those are hunters and half spear fishermen who have the golden tooth. With a tooth not visible there is a clear 50 / 50 possibility ;1;0;0;0
Q9eJpdxfH4Hn;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;I would not be able to tell unless I seen the person's teeth, so it's 50/50 until I see them;1;0;0;0
sU9IFq0F5VWM;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;The tribesman are differentiated by the gold tooth, which I cannot see to make an accurate assumption about if they are a hunter or spear fisherman.;1;0;0;0
UnuEWIft6cIv;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;Given the split between hunters to fishermen is 50:50 there is an equal chance for it to be one or the other.;1;0;0;0
V76wWq6K55OI;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;Everyone in the village wears the same colourful headress so without any other indicators (a golden molar) you can not differentiate between hunters and fishermen.;1;0;0;0
wd3pjLg0a6cA;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;The categories are split into 50/50 so without any differentiating features, the probability that the person I met belongs to one or the other category is the same.;1;0;0;0
yb9AWIex1cyV;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;Well both hunters and fishermen of the tribe wear a colourful headdress. I cannot identify if they have a golden tooth to lean towards them being a fisherman. So i would believe it is equally likely they could have no golden tooth and be a hunter from the tribe.;1;0;0;0
0LkuPtiCPPIt;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;We can't see his tooth so we can't say for definite whether he is a fisherman too. ;1;0;0;0
0SiuxWROW0Yk;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;Well, I chose 50/50 because they only have 1 thing visible that we can identify them with.;1;0;0;0
0WSvjxEarrz8;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;Don't have any information about the golden tooth from what I have read about the tribesman. Therefore all the information we have is that they wear a colorful headdress, which is done by both types of tribe members, so there is an equal chance it could be either of them.;1;0;0;0
10oD1TTI3qby;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;If they all wear headdresses, and half of them have a gold tooth. Then it's 50%, I think.;1;0;0;0
1gHmtlUHIgjT;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;As both the tribesmen and fisherman have colourful headdresses and I am unable to see whether the individual has a gold tooth I cannot be sure what group they are from.;1;0;0;0
5z2osUwC36g6;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;Half are hunters and half are fishermen.  They all wear headdresses so that information is irrelevant.  Half have a golden molar tooth that can't be seen so it is 50:50 probability.;1;0;0;0
8pwBlcUcMR5z;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;There would be no way in knowing this without looking at their teeth - from their headdress alone you can 't assume either way.;1;0;0;0
A0nU15vGemlH;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;Cant see if he has the tooth, so could be either;1;0;0;0
AjocfVSHOZbB;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;as they both wear coloured headdress then its a 50/50chance that they are either a hunter or a spearfisherman, as the only way to know for sure is to see if they have a golden molar.;1;0;0;0
ccyEbGl4o7nH;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;it doesn't seem there is much more ways to figure out what tribe they belong to ;0;1;0;0
ClNdyYbxe74X;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;It could go either way because there's no majority, it's a 50/50 chance..;1;0;0;0
fTWbDWzDdlnT;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;it was 50/50;1;0;0;0
GlNKkpKuq6ul;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;There is not way to know until you see their teeth, both groups have headdresses so you can't rule anyone out;1;0;0;0
Ht9XhUFriJY5;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;He could be either as you don't know if he has the differentiator;1;0;0;0
HzG4k7huELZJ;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;They both wear colorful feathered headdresses but not sure if they have a golden molar tooth, hence the reason why I went with the 50/50 choice.;1;0;0;0
JDq8q7sBEdb3;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;it is a fifty fifty chance;1;0;0;0
Kcf3jj5m1z4i;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;If half have a golden tooth then there's a 50:50 chance that he has one;1;0;0;0
kZDeqrwS9z9O;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;If I don't know if the person has a gold tooth or not, then there is a 50 50 chance that he does (or doesn't);1;0;0;0
n0DTk3Arszu2;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;Because the amazon has exactly 50:50 distribution of hunters and spear fishermen, and both wear colorful feathered headdresses, the chances are 50:50 when you come across a tribesman with colorful feathered headdress.;1;0;0;0
NJJhbNuYlNxl;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;Given the fact that it wasn't mentioned whether the tribesman had a golden molar tooth or not I believe that there is an equal chance that they could be either fishermen or hunter.;1;0;0;0
OYvofkIxy56x;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;I didn't have enough information to decide between the two categories so went for the 50/50 option.;1;0;0;0
PS0tFjaBl3n4;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;As they both wear headdresses, it was a 50% chance they would be either fisherman or hunter without seeing their teeth;1;0;0;0
pX5NGBqLkIUj;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;Since I don't know if he has a gold tooth, I assume there's a 50/50 chance.;1;0;0;0
QhhUJAN7DPHO;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;They both wear the same headdresses so its impossible to say ;1;0;0;0
RYOj2GQ47DFw;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;notKnow;It was 50/50 since the gold tooth was the only factor mentioned that separated the two.;1;0;0;0
2Ff29x3rT8yq;1: I confirm;1: I will take it seriously;narrow_left;4;spearNet;notKnow;He could be either fisherman or a hunter but because I couldn't actually see a net, which one might expect him to be carrying if he is also carrying a spear, he is marginally more likely to be a hunter.;0;0;1;0
3T1gv2Z8F2Gu;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;In the scenario, it was indicated that both halves of the tribe had spears but half also had nets. I chose 50/50 because it is highly likely that the tribesman could be from both halves of the tribe since they all carry the spear. What differs is the net.;1;0;0;0
7jfCFoYXeup2;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;If you cant establish if the person has a net then he could be either a fisherman or a hunter. The only way to determine is to see if they have a net which you do not know at this point;1;0;0;0
a1GD9uja9HZM;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;50% are hunters and 50% are fisherman;1;0;0;0
A7SeSqvF2uko;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;I think it is a fifty fifty chance because the only information you have is that you see them with a spear. There is not enough information to decide either way.;1;0;0;0
BXyHRrYOFHlV;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;because there were it was 50/50 which they could both have spears;1;0;0;0
C6yc3acskKP7;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;We know he has a spear so we know he's one or the other.  but we don't yet know if he has a net so we cannot yet classify him as a hunter or fisherman.;1;0;0;0
DiDf8bfalMqo;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;He may have had the net hidden so I could not say he was definitely a fisherman or a hunter.;1;0;0;0
e4vNxXvP3ima;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;Since both tribe uses spear and we don't know if he has a net then there is a 50:50 ratio of him not having a net or having a net;1;0;0;0
EwYufUTHJ1lP;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;100% carry spears, only 50% carry nets. If we know he has a spear, but not whether he carries a net also, then it follows there is still a 50% chance, without further information.;1;0;0;0
GbDiC5gANBFg;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;If they both have a spear, but only one has a net, however I can't see if they have a net, then I must make the assumption that it could be either. ;1;0;0;0
hGwFnK5FTSJX;1: I confirm;1: I will take it seriously;narrow_left;3;spearNet;notKnow;Since I am unsure if he has a net or not, I rated accordingly. I didn't choose with certainty but more than a 50/50 chance that he is actually a hunter and not a fisherman.;0;1;0;0
HsHntx2fgliX;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;"The description said that both hunters and fishermen carry spears, but that fishermen also carry nets.

The person I encounter carries a spear, but I cannot be certain if they carry a net or not, therefore there is a 50/50 chance they are a fisherman or a hunter.";1;0;0;0
JttxmAJIutuI;1: I confirm;1: I will take it seriously;narrow_left;4;spearNet;notKnow;I believe it is probably an even split on whether they are a hunter or a fisherman. If I assume the net would be large, then it's more likely to be a hunter, as I don't know the size of the net for certain then it's a near even split, leaning towards hunter.;0;1;0;0
oEhCKRubrMlg;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;i said 50/50 becuse we dont know all the details. He could definetly be a hunter, but he could equally still be a fisherman;1;0;0;0
OpnAx7yczAao;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;both carry spears, one carries spear and net, only see a spear at this point so could be either;1;0;0;0
pvvUPSHIjr0A;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;Both have spears but not sure of having a net gives a fifty fifty chance of either hunter or fisherman;1;0;0;0
qvWIqDQ3Z75p;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;Well, all tribesmen have spears, so the information doesn't tell us one way or another which tribe of tribe he was from. So therefore it was simply 50-50 chance.;1;0;0;0
SwJXR3DQRL51;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;from the explaination both types of person carried spears;1;0;0;0
sxKbGBI6uLOD;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;They both have spears and without being able to see if they have a net or not it has to be a 50/50.;1;0;0;0
TGaTSypK1NSN;1: I confirm;1: I will take it seriously;narrow_left;3;spearNet;notKnow;i put it cause im fairly certain he is just a hunter;0;1;0;0
UGNeWPRlMkRd;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;Without knowing if the person is carrying a net it's impossible to say for definitely where he belongs;1;0;0;0
UtANqdXAqtKN;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;both tribes carry spears so it could be a person from either tribe , a 50/50 choice;1;0;0;0
Vs7uQgwgw9EH;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;while it would be easy to assume he'd more likely be a hunter, in reality most people wouldn't have a net in one hand and a spear in the other when just walking around. there's no reason he wouldn't have a net on him as well, so it could go either way.;0;1;0;0
VSCnbj4a5mrx;1: I confirm;1: I will take it seriously;narrow_left;5;spearNet;notKnow;both hunters and fisherman carry spears and they're is an equal split between them. therefore it is a 50/50 chance that he is also carrying a net ;1;0;0;0
0oVAwZAIl0Qc;1: I confirm;1: I will take it seriously;narrow_right;6;spearNet;notKnow;Well it said fishermen carries nets so If you can't see them carrying a net is most likely to be a spearman but then again they could have left their nets at home. So you can't really tell if it is fisherman or a spearman ;0;0;1;0
2AHt2PhU4apl;1: I confirm;1: I will take it seriously;narrow_right;7;spearNet;notKnow;This lead me to believe he who carry spear and a net should be obvious visisally a naturally assumed especially with fishermen as their job would be using net in bulk of time, so that he didn`t I would think more likely  thought to be a hunter.;0;0;1;0
4HIIIOu74jlR;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;All tribe members have spears, if the man has a spear they are just as likely to be either;1;0;0;0
5LLPykXLFnpS;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;There is no way of knowing which tribe he belongs to.  Both tribes have spears, so there is a 50:50 chance of it being either.;1;0;0;0
8lCrhRZoTO5J;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;If he is carrying a spear, he could be a fisherman or a hunter. The fact that you don't know if he has a net does not mean he is a hunter.;1;0;0;0
8lO4apjIzHix;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;"The information provided was to the effect that the tribesman had a spear, so he could belong to either group. There was no information given as to whether or not he also had a net, therefore eithermembership was equally likely.


";1;0;0;0
D9A5DfhDGgYF;1: I confirm;1: I will take it seriously;narrow_right;8;spearNet;notKnow;I could not guarantee he does not have a net with him, it could be placed somewhere in his clothing or laid down on the ground so I can not pressume he is definitely a hunter. However, because he seems to appear without a net, I can try to guess that he is more likely to be a hunter than a fisherman.;0;0;1;0
fYZXm2Ulhf3s;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;He is definitely either a hunter or spearfisher. But since we don't know if he has a net, it is a 50/50 chance that he is one or the other. ;1;0;0;0
FZOpNETb6QNY;1: I confirm;1: I will take it seriously;narrow_right;8;spearNet;notKnow;higher probability of being a hunter as no net;0;0;0;1
HyKF9hZzkRGK;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;It is impossible to tell whether he is a hunter or fisherman without knowing if he has a net or not.;1;0;0;0
ivjmYYuetIDr;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;We know both hunters and fisherman have spears, but only fisherman have nets, assuming 50/50. In this scenario we don't know if the individual has a net, therefore it is a 50/50 guess, due to the two options.;1;0;0;0
jB0s7m40XI0H;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;It feels like there was an equal chance of either fishermen or hunters having a spear.;1;0;0;0
JbVWGCZDgvIj;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;Both could carry a spear so it could be any of the two.;1;0;0;0
M4MN6OEgVw4E;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;The tribesman could have left his fish net behind at the moment that he was seen. Equally so, tribesman with no fishing net could just be that.;0;1;0;1
MDGtzVv8Q5s2;1: I confirm;1: I will take it seriously;narrow_right;4;spearNet;notKnow;He had a spear which is certainly used by the fisherman so there is higher chance.  But the hunters can also use spears so there is small chance for that also.;0;1;0;0
mux7W5ZbS3jq;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;There is not enough information to make a conclusion as to whether they were hunters or fishermen.;1;0;0;0
nlrEkt7YIzSi;1: I confirm;1: I will take it seriously;narrow_right;10;spearNet;notKnow;If he had a net I'd presumably be able to see it. So he must be a hunter. ;0;0;1;0
Pr05Z1RJlnaS;1: I confirm;1: I will take it seriously;narrow_right;7;spearNet;notKnow;I thought if he was a fisherman, his net would be more visible. Given that I wasn't sure, I hedged my bets a bit and thought he was slightly more likely to be a spearsman.;0;0;1;0
pz2IFYr2I5lC;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;there is no way of knowing what tribe he is on because they all carry a spear and not seeing if he has a net or not gives it a 50/50 chance to be a fisherman or a hunter.;1;0;0;0
rR9QfjA6c82X;1: I confirm;1: I will take it seriously;narrow_right;7;spearNet;notKnow;I think that it is more probable that they are not a fisherman because a net would be easy to see.;0;0;1;0
tL4BPfJBqqJK;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;If both carry spears and only fishmen carry nets, and we dont know whether the tribesman also carries a net in additin to the spear, then the chances are 50/50;1;0;0;0
UWF1If7Ya8Zw;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;The only thing that I can know for sure is that all members of the tribe have spears (half are hunters, half are fishermen) so there is a 50/50 chance that the individual is one or the other;1;0;0;0
V9VTessKefn7;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;As they could have the net somewhere out of sight I feel that there is an equal chance.;1;0;0;0
vVhUofOh2gtv;1: I confirm;1: I will take it seriously;narrow_right;7;spearNet;notKnow;Just because he doesn't have a net with him at this specific time doesn't necessarily mean he doesn't own a net. As these two groupd are prevelant in the area the chances of being a hunter are a little higher than him being a fisherman.;0;0;0;1
y0GYqRYDiuzK;1: I confirm;1: I will take it seriously;narrow_right;5;spearNet;notKnow;both hunters and spearmans can carry a spear, so they could be either of them.;1;0;0;0
