"subj_code","condition","desktop_conf","attent_conf","scale_orient","dv_query","outcome_valence","instr_tests","DV_rating","explanation","age","gender","tech_issues","rating_rec"
"m7cY9AsnpbD6",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",3,5,"reading the explanation from bother things sounds like both are equally likely to happen ",22,"2: female","n/a ",0
"MtsKmvdaY7Xp",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,8,"The two gene mutations are equally likely to occur but Mut-Taw4 causes two different problems",42,"1: male",NA,3
"njlcDFs0odB9",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Both mutations would have had an effect on this individual and until further tests are made both are equally likely to have been the cause.",29,"1: male",NA,0
"nndyLtluDtNp",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,0,"As we already know that they have abnormal Gludon blood levels, it would be ideal that they simply had Mut-Bic2 as that only affects those Gludon levels. If they had Mut-Taw4 it would mean that their Gludon levels are not the only problem to worry about.",34,"1: male",NA,-5
"NSMbkbq9dLKp",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Further investigation needs to be done to detect lian levels and if that proves positive then it can only be one or the other.",25,"2: female",NA,0
"O8H6MxuKI4m8",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,1,"There is a small chance that the patient has abnormal Lian levels - so much more likely to be Mut-Bic2",50,"1: male",NA,-4
"oKzclkQ2okc4",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,2,"it is definitely true that the patient has problems with gludon levels. Whether they have problems wit lian levels is yet to be ascertained",54,"1: male","none",-3
"p5IUJ6TZPtFR",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,10,"i just came to that conclusion after reading the initial data",48,"1: male","nothing to report",5
"pgeM9mXSSwEi",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"As the patient has altered Gludon levels, either mutation can cause that",47,"2: female",NA,0
"QcYtYEt2PX3R",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"because only knowing whether the patient has abnormal gludon levels makes no difference to which gene mutation they has as both cause this",29,"1: male","none",0
"riLTs4j1YKx9",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"there is very little difference",46,"2: female","none",0
"ryRauVEXkiMA",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"i don't really know",37,"1: male",NA,0
"rzHWrf3YXRsA",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"It would be equal as there is an equal chance of having both so it would be in line to what we expect to happen",40,"2: female",NA,0
"T3WRyQNXy3J7",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",3,5,"Because it helps the blood levels for life expectancy.",40,"1: male",NA,0
"tcqOTxSgXTar",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,0,"I believe that Mut-Bic2 is the most satisfying explanation for the physiological condition of Patient #53 because this mutation always causes abnormal Gludon blood levels, and we already know that Patient #53 has abnormal Gludon blood levels. Mut-Taw4, on the other hand, causes both abnormal Gludon and abnormal Lian blood levels, and we don't yet know if Patient #53 has abnormal Lian blood levels. Therefore, Mut-Taw4 may or may not be the cause of Patient #53's physiological condition, while Mut-Bic2 is a definite possibility. ",55,"1: male",NA,-5
"TOMcLwYioKrA",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"We have been told that Mut-Bic2 and Mut-Taw4 are equally likely to occur in a person.",59,"1: male","none",0
"uQWeh9EhheQX",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",2,5,"It is impossible to say whether or not the Mut-Taw4 is present as Lian is untested.",31,"1: male","None",0
"uv9IlqIlcOS6",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"As of now, the diagnosis could be either. As it has not been found that there are any Lian Blood levels in patient 53, it could be either until this is discovered or ruled out.",23,"2: female","No",0
"VhDQQ6kd1lt4",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,2,"it would more more satisfying to know that he only has one, rather than both. Although either result is equally likely.",28,"1: male",NA,-3
"VNaDkkT0f2qh",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"i believe that the rating made is the fairest outcome from the conditions described",30,"1: male",NA,0
"vvbRD7AKrBgt",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"They both occur at the same rate in the population so each is equally likely to be the cause",37,"1: male",NA,0
"W6OIAZLE2QSS",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"I don't think it would matter which one it was. ",30,"1: male","None",0
"x8nvkvNCj12u",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Both conditions are equally likely to occur and both cause abnormal Gludon blood levels, so the chance of the patient having one or the other is 50%. Only the test for Lian blood levels will be conclusive.",50,"1: male",NA,0
"Xj4EqRrhZYdK",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,4,"As one abnormality has been found it lends itself one way but not so much that I would make it a much higher likleyhood.",52,"1: male","If you want to know sex based differences than why make it more difficult by introducing gender. At leaset ask for both sex and gender.",-1
"0STeCk4EXfiQ",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,5,"I chose that both are equal as they have an equal chance of occuring naturally in the population. As there is only detail of the one mutation it is hard to say which. ",25,"2: female","na",0
"0UaPxMPT02vO",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,7,"Based on the infromatio provided if both levels are high this increases life expectancy",34,"1: male",NA,2
"0WzmEtZdWaxn",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,5,"Theres a number of things I dont know. I dont know which of the blood level improvements have the greatest impact on life expectancy. I dont know if both combined has a greater effect, therefore any discovery I would find satisfying.",43,"1: male","No errors found.",0
"28xYY83tVq7Q",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,5,"Both mutations are likely to occur together",64,"1: male","None",0
"75xBXunuzAAG",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",2,3,"I chose this option as the patient has been proven to have Mut-Bic2 so I felt it was the most likely. ",30,"2: female","None",-2
"7ts1fe9GRI3i",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,0,"Earlier it was stated that bic3 caused health Gludon levels, without further testing, we don't know if taw4 is present.",68,"2: female",NA,-5
"a9a6y0NzuDAf",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,7,"mut taw would be more satisfying because it would be better for the patient to have this mutation rather than the other one",47,"2: female","none",2
"ajg4wRcvlmuR",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,7,"I felt that was the best option out of the options available for choice ",31,"1: male","none to note!",2
"Au3hPcJq3jUm",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,7,"I think that lian is also good",21,"1: male",NA,2
"b0rKXlK7wauX",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",2,5,"Without knowing the levels of healthy Lian we can't know which of the mutations the person has for sure",24,"1: male",NA,0
"CcOBkjLo7OuM",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,0,"so, they have healthy gludon but levels but Lian is unknown, so we suspect they have bic2 but may have twa4. At this point i'm thinking i should have left the slider in the middle :/ as we dont yet know which one it could have been.",31,"1: male",NA,-5
"D1iEQ7Gxh04i",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,10,"The mutation I picked can give the patient healthy levels in the area they need it, the other one can't.",33,"1: male",NA,5
"D8FYox0btMMt",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,5,"Without knowing the Lian levels it could be either Bic2 or Taw4, we can't conclude its definatly one yet.",30,"1: male",NA,0
"Da2unz1dulHi",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,2,"Well since we know the patient had healthy Gloudon levels but we don't know if he has healthy Lian levels then its most probable that he has mpic2 and we are not certain if he has tudon. So hence my choice of the first option more closely but not entirely sure since we don't have enough proof yet of his healthy Lian levels",32,"1: male","No issues",-3
"DE5LjWPSCbCm",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,5,"Because the chances of the rest of the population having both is the same.",41,"1: male","No technical issue.",0
"DQyGpdN3a9zQ",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",2,5,"Either would be satisfying for this patient as we are yet to find out about the other levels so don't know if it is needed. But I guess 4 would be better to guarentee those levels too.",31,"2: female","None, easy to understand.",0
"eHu3apmwAWxZ",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,5,"both mutations are beneficial to a persons life expectancy so as long as he has the mutation it doesn't matter which he has",56,"2: female","none",0
"eLQgybvITEPx",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,5,"The probability of someone having mut-bic2 is equal to someone having mut-taw4 ",31,"2: female",NA,0
"eMZqDb3xJYi7",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,5,"both mutations are equally likeley to occur in a general population. a both mutations afffect gideon, it is equally likely that he can have either 2 of the mutations, bic2 or taw4",22,"1: male",NA,0
"eV4doDffqhc4",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,10,"because mut-taw4 always causes both healthy gludon blood levels and healthy lion blood levels so that is the best to have the mut-taw4 in your blood. But there is only a 50-50 chance that  any person could have both healthy blood levels.",68,"2: female","none",5
"fdlqtSQqRkSl",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",2,5,"Unable to rule out either one without knowing lian levels.",28,"1: male",NA,0
"fIyKYEKsenwg",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,5,"Since the only difference between the two is the increase in Lian blood levels in Mut-Taw4, we don't have enough information to tell if the patient has one or the other mutation. So since we don't have confirmation of one of the other we have to assume an equal chance of the patient having either mutation.",50,"1: male","There were no errors or issues and everything ran properly",0
"foSGxzLCECs8",7,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","positive",1,10,"I don't know if that's the correct logic, but it sounds to me like Taw4 is generally more effective because of more beneficial elements.",23,"1: male",NA,5
