"subj_code","condition","desktop_conf","attent_conf","scale_orient","dv_query","outcome_valence","instr_tests","DV_rating","explanation","age","gender","tech_issues"
"WMXIKBLUeAZC",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"I chose equal because there is still an equal chance out of each individual.",30,"2: female",NA
"bl0MNGrQ4KRs",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"IT has already been established that the 10 people who had the different blood levels had a 50% chance of having either mutation.",44,"1: male","none"
"iRfVODq3FAci",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"There is no conclusion on Lian levels yet so its safe to assume that the patient could have either of the mutations since they are equally likely to occur",20,"1: male",NA
"it7NpgceWQQ6",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",2,2,"I chose this rating because i used probability and by the scenario given there is a higher probability that mut-bic2 is present but because of the uncertainty i chose an in between rating.",26,"2: female",NA
"iw3wsFclgSGB",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"The information was that the prevalance of each condition was equal at 5%. If the gludon problem was found it's 50:50 chance of bic2 or taw4",68,"2: female",NA
"JHLY3qPdMjnf",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Abnormal Gludon blood levels are caused by both, and they are equally prevalent, so from the information given they are both as likely as each other to be the cause.",44,"1: male",NA
"KQ8jPBrrw8Dh",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"There's an equal chance that it could be either of them.",37,"2: female",NA
"ozubKAmseHvN",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",2,5,"I said both equally because there's an equal chance of it being one or the other.",41,"1: male",NA
"P9rDJT4o5rmn",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Both mutations cause abnormal gludon blood levels, at an equal probability. At this point the only fact known is that gludon levels in the participant are abnormal - nothing is currently known about lian, so at this point you can only conclude it could be equally either of the mutations.",27,"1: male",NA
"PY6giVX7UL4o",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",2,5,"They both seem equally as bad as each other to have, not sure either is satisfying.",34,"3: non-binary","none"
"sQCbjSgiNYVT",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"AS one has come back confirmed and the other hasn't, we can't rule out both.",36,"1: male","no errors"
"VKNN6od8WPJK",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"As both are equally likely it is possible he could have both ",64,"2: female","None"
"XbdPK85ZY3JK",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,10,"Since the Mut-Taw4 causes both abnormal Gludon blood levels and abnormal Lian blood levels, it is best that that tests for both a run using Mut-Taw4.",65,"1: male","I did not encounter any error."
"XQVCLAlTy4xZ",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,2,"one could affect their chance of surviving more than the other",23,"1: male",NA
"ZCWAFyHVhyWc",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,2,"Due to knowing that the Gludon blood levels are abnormal but not much about Lian blood levels made me lean bit more towards Mut-Bic2",24,"1: male",NA
"zKb474K339FB",5,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction","negative",1,5,"Well the patient only showed signs of abnormal gluton levels for both the tests and not showing signs of the lian so this means the results can only be inbetween the middle of the experiment as there is no definitive answer and no acurate result this person is showing lian.",32,"2: female","no errors in this study"
"0V90DxTqjy3S",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"until the lian test results are back its 50/50",24,"1: male","none"
"0Xi0OEbrqUes",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"The two conditions are equally likely in this situation.",66,"1: male","None"
"1rxoW9XwlTdN",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"This is because using conditional probabilities, we can deduce that P(Lian|Gludon)=P(Lian'|Gludon).",18,"4: prefer not to say","None"
"8santAIGyD5h",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"You can have either Mut-Bic2 or Mut-Taw4 if you have abnormal Gludon blood levels, it is only possible to know that you have Mut-Taw4 is you also have abnormal Lian blood levels which have not been tested for.",51,"1: male","Patient #53 has either Mut-Bic2 (which causes abnormal Guldon levels) or Mut-Taw4 (which causes abnormal Gludon and abnormal Lian levels). The patient has already been found to have abnormal Gludon blood levels, but we don't know yet whether or not the patient also has abnormal Lian blood levels.

spelling mistake Guldon and Gludon?"
"bbfRusqgBxYu",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"As they don't know yet does patient has a Mut Taw4, so it means he could have a equally both gene mutations.",51,"2: female","All great."
"fOYWgGYAuEAo",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"we know each mutation causes abnormal Gludon,but without the test we cant know for sure, if they occur equally in the population its safer to say he could have both",24,"3: non-binary","no errors i can think of, maybe add pictures to the description rather than just words, some people learn better with visuals "
"hSJBmBbgx3wO",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"Both mutations can increase gludon. But only one affects lion - we have no info re lion and both mutations are equally prevalent - therefore could equally well be either in this case",63,"1: male","none seen"
"izguXJ1fCC3g",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"both conditions have the loss of gludon levels, so could be both as the other level hasnt been checked yet",43,"1: male","none"
"LO42zV7OQc3l",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"Based on the current diagnostic we have, it is impossible to tell which mutation is more likely",27,"2: female",NA
"MAfkemzcymij",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"Both mutations cause abnormal Gludon levels and the patient hasn't yet been tested for the other so there is a 50/50 chance it could be either.",45,"2: female",NA
"MG83X91vBBqa",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"I think it is equal as it is yet to be determined which is more prominent within the patient",26,"2: female","none"
"NatlWUHcMZXc",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"Both mutation cause changes to Glundon levels so it could be both",36,"1: male","None"
"Nbsvt61vsS9n",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,9,"Mut-Bic2 only affects Gludon levels and patient #53 already knows they have issues with their Gludon so it is better it is this mutation.  Otherwise if they are diagnosed with the Mut-Taw4 mutation it means as well as the Gludon they know about they also have a problem with their Lian too.",52,"1: male",NA
"WJexKsfDUYvq",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",2,5,"Since both occurs equally.",38,"2: female",NA
"zizMY5dz15sT",6,"1: I confirm","1: I will take it seriously","narrow_right","satisfaction","negative",1,5,"They don't yet know the blood levels of lian. Until they have all the information from the blood tests they can't determine which disorder the patient has.",52,"1: male","It is a little bit hard for me to remember the difference between mua and bic and which one carries both gludon and lian and which one carries only lian."
