subj_code;prevalence;latent_feature;LS_bias_probe_stim;scale_orient;instr_tests;LS_bias_probe_rating;age;gender;tech_issues;rating_rec;explanation;Correct explanation ;Unclear explanation ;Inferred absence because of low feature base rate;Inferred absence of latent feature
4r6GPizejlrm;presented;feet;probe_amb_beak.png;narrow_left;2;5;46;1: male;NA;0;it could have been either beak or feet;;1;;
5MyTygbJdmf3;presented;feet;probe_amb_beak.png;narrow_left;1;5;27;1: male;N/A;0;All variants are equally found in the pond but we also can only see the blue beak.;1;;;
78Gdo2zKHRim;presented;feet;probe_amb_beak.png;narrow_left;1;5;35;2: female;NA;0;I couldn't see its feet. If both mutations have the same probability then it could be either which cause blue beaks;1;;;
8ZUIBfSZ9mkm;presented;feet;probe_amb_beak.png;narrow_left;1;5;48;1: male;N/A;0;because all mutations have an equal chance of occuring I think the chances of the duck having PIX67 and NAX20 are just as likely;1;;;
a64wwaSl7L2s;presented;feet;probe_amb_beak.png;narrow_left;1;5;37;1: male;NA;0;There is a 5% chance it only has a blue beak and a 5% chance it has both, and I have no other info;1;;;
BsTkaFOHHM1U;presented;feet;probe_amb_beak.png;narrow_left;1;5;30;2: female;NA;0;As we can't see the feet and all the mutations are equally likely to occur then there is an equal chance of the duck also having blue feet.;1;;;
C6Gdr3TqmPB4;presented;feet;probe_amb_beak.png;narrow_left;1;5;44;1: male;NA;0;because you could only see a blue beak that means it could be either pix67 or tox20;;1;;
caYUVqXJQOyG;presented;feet;probe_amb_beak.png;narrow_left;1;5;35;1: male;I could not see any errors;0;We cannot see the feet, but we know the beak is blue. Therefor, because the chances of having each mutation are equal we must assume that the duck has an equal chance of having both the beak and feet or just the beak.;1;;;
cudERnYbFNLl;presented;feet;probe_amb_beak.png;narrow_left;1;5;39;2: female;No errors found, thanks;0;We're unable to see the ducks feet in the image and it has an equal chance of having both a blue beak and feet as it does just by having a blue beak which is the only part of the ducks body we are able to see in the image;1;;;
DjTd03u4frHu;presented;feet;probe_amb_beak.png;narrow_left;1;5;41;1: male;NA;0;The instructions said all 3 were equally likely, so it could have been either of the two. It was impossible to know based on the picture. ;1;;;
EObF5pRfUUFN;presented;feet;probe_amb_beak.png;narrow_left;1;5;46;1: male;NA;0;5% chance it could be just a blue beak.  5% chance it could be both blue beak and feet.  Equal;1;;;
eYBlG5C2lBWO;presented;feet;probe_amb_beak.png;narrow_left;1;5;37;1: male;none;0;Because it would be a 50/50 chance whether the feet of this duck would be blue or yellow;1;;;
EyKVQ08Ellbr;presented;feet;probe_amb_beak.png;narrow_left;1;5;27;1: male;N/A;0;I chose both equally likely because the duck had a blue beak, meaning he either has just the blue beak or both. ;1;;;
f3ezu8NNwohC;presented;feet;probe_amb_beak.png;narrow_left;1;5;59;1: male;NA;0;Itis impossible to tell for sure what is going on with the feet but as the chances of something and nothing are the same then it is equally likely for both posiibilities to have occured.;1;;;
GFhfZg5qcWDi;presented;feet;probe_amb_beak.png;narrow_left;1;5;37;1: male;NA;0;The ducks beak was visibly blue, but the feet were not visible, making it impossible to know the color of their feet.;;1;;
HicWZRhSYwgc;presented;feet;probe_amb_beak.png;narrow_left;1;5;39;1: male;NA;0;Equal opportunity for both mutations;1;;;
hW7CsN8tAyrq;presented;feet;probe_amb_beak.png;narrow_left;1;5;34;2: female;NA;0;We can't see the feet so can only judge based on beak which 2 genes are equally likely.;1;;;
ibVjscNv7umQ;presented;feet;probe_amb_beak.png;narrow_left;1;5;28;1: male;NA;0;Both mutations cause blue beaks, since both mutations are equally likely to occur, and it is not possible to see the feet, it is possible that the feet are also blue;1;;;
ir8a8TZw6sDD;presented;feet;probe_amb_beak.png;narrow_left;1;5;70;1: male;NA;0;All occurences are equally likely, so if a duck has a blue beak the chances of it having orange feet or blue feet is equally likely.;1;;;
JdD1Or7aSFGw;presented;feet;probe_amb_beak.png;narrow_left;1;5;66;2: female;none;0;I could not see the feet so it could be 50 50;1;;;
kO5m1vAFGbMd;presented;feet;probe_amb_beak.png;narrow_left;1;5;22;1: male;NA;0;"The two mutations are equally likely to occur.
";1;;;
leRbnDrPs6nD;presented;feet;probe_amb_beak.png;narrow_left;1;5;33;1: male;NA;0;All three mutations occur at the same rate, so I think the chance that the blue beak is caused by PIX67 or NAX20 should be equal to each other. ;1;;;
loE2I8HhgrFz;presented;feet;probe_amb_beak.png;narrow_left;2;5;36;1: male;NA;0;Cant see its feet so has to be 50/50;1;;;
loKSN0n10G2H;presented;feet;probe_amb_beak.png;narrow_left;2;5;48;2: female;none;0;You can't see the ducks feet;;1;;
LTAlRRlcIoSg;presented;feet;probe_amb_beak.png;narrow_left;1;5;55;2: female;NA;0;we cannot see if the duck has blue feet so it's a 50/50 chance that he has either of the mutations;1;;;
lw5kQFyGqxpv;presented;feet;probe_amb_beak.png;narrow_left;2;5;27;1: male;All good, thanks!;0;Considering the blue beak, the duck may have been PIX67, but considering the feet don't show, the duck may also be TOX20.;;1;;
LYQfZYwIL7pL;presented;feet;probe_amb_beak.png;narrow_left;2;5;39;2: female;NA;0;all mutations are equally likely.;1;;;
m70mUi4wzKYV;presented;feet;probe_amb_beak.png;narrow_left;1;5;38;2: female;none;0;Both mutations cause a blue beak, and they both occur as often as each other so it could realistically be caused by either of the mutations;1;;;
mB4c64anx4wR;presented;feet;probe_amb_beak.png;narrow_left;1;5;54;2: female;No;0;The Mutations occur equally and I couldn't see the duck's feet - only the beaks. The beak was blue so both mutations were likely;1;;;
MENhmZNTqXf1;presented;feet;probe_amb_beak.png;narrow_left;1;5;61;1: male;All fine;0;Basically cant see the feet so its basically 50:50;1;;;
mjO2sV6kwWgf;presented;feet;probe_amb_beak.png;narrow_left;1;5;59;1: male;none;0;PIX67 and TOX20 both have blue beaks. The feet weren't shown, so it was impossible to determine which mutation it was between the 2;;1;;
NdUmttuqqukF;presented;feet;probe_amb_beak.png;narrow_left;1;5;38;1: male;NA;0;Both cause a blue beak and have same chances of being true. Cannot determine feet colour;;1;;
NKnJ3dfh6lhi;presented;feet;probe_amb_beak.png;narrow_left;1;5;63;1: male;Nil;0;Since the duck has a blue beak (instead of the typical yellow), it means it could have the PIX67 or TOX20 mutation. However, since we can't see it's feet, we don't know if they are blue or typical orange. As such, the duck could have either the PIX67 or TOX20 mutation.;;1;;
Nmn7il5vbsUJ;presented;feet;probe_amb_beak.png;narrow_left;1;5;72;2: female;Yes - there was a spelling error near the beginning. You spelled biologist wrongly. (You spelled it as  'bilogists'). You also used the American spelling of 'color', instead of 'colour', as most normal people would spell it.;0;The PIX67 duck has a blue beak and so does the TOX20.;;1;;
oEi0IQirvjCY;presented;feet;probe_amb_beak.png;narrow_left;1;5;38;2: female;NA;0;Its equally likey the mutation could cause just ble beak or both blue beak and blue feet;1;;;
P4mCVQMZxRzB;presented;feet;probe_amb_beak.png;narrow_left;1;5;26;1: male;NA;0;The duck had a blue beak but it's feet were not visible, therefore a TOX20 OR PIX67 mutation are both equally likely since they both cause blue beaks.;1;;;
PXWTRPORmWVQ;presented;feet;probe_amb_beak.png;narrow_left;1;5;29;2: female;NA;0;Because the probability of each mutation is the same, it is equally likely that this duck either only has a blue beak or has both a blue beak and feet. ;1;;;
qwVScYWD2ZPh;presented;feet;probe_amb_beak.png;narrow_left;1;5;44;2: female;nothing to report;0;Because you cannot see the feet of the duck and so it may not have blue feet but also it might so either mutation is likely.;1;;;
R3wWT59qo2ka;presented;feet;probe_amb_beak.png;narrow_left;1;5;30;2: female;there were no issues;0;the duck has mutation TOX20 but the feet are not visible there is a likely chance that the feet could either be blue or orange;;1;;
rJfqTAXZF05X;presented;feet;probe_amb_beak.png;narrow_left;1;5;31;1: male;NA;0;We know the duck had a blue beak. The fact it has a mutation doesn't inhibit the chance of it gaining another. Which means that it is equally likely, not definite, that it has blue feet;1;;;
rLzui8n1PSjp;presented;feet;probe_amb_beak.png;narrow_left;1;5;52;1: male;No issues. Was fun!;0;Only the beak is visible therefore it is a 50/50 as to which gene caused the blue feet;1;;;
uleBkCRKhJ1T;presented;feet;probe_amb_beak.png;narrow_left;1;5;57;1: male;None, thank you.;0;Can only see the blue beak. Could therefore be NAX20. But also may be PIX67 that also has a blue beak. Can't tell the colour of the feet in the picture.;;1;;
uzISwRY0iNMh;presented;feet;probe_amb_beak.png;narrow_left;2;5;47;2: female;NA;0;because its got a blue beak which would indicate tox but you cant see its feet which would could also be blue suggesting pix;;1;;
vtc19H4A7xmE;presented;feet;probe_amb_beak.png;narrow_left;1;5;47;1: male;NA;0;I don't know if the duck has blue or yellow feet. Because of this, there is an equal chance that it has just a blue beak (5%) or blue feet and beak (5%).;1;;;
VufLGXkoODDF;presented;feet;probe_amb_beak.png;narrow_left;1;5;38;1: male;None;0;The image does not show the duck's feet so there is an equal chance that the duck can either have blue feet or yellow feet.;1;;;
W04WwcPk7a6q;presented;feet;probe_amb_beak.png;narrow_left;1;5;35;1: male;NA;0;Both Mutations can cause a blue beak, as we can't see the feet, we can't be certain that it is PIX67.;;1;;
wDUuYNfpiC9x;presented;feet;probe_amb_beak.png;narrow_left;1;5;25;2: female;None;0;Since the feet can't be seen, it has an equal chance of having either variations;1;;;
xaVBwn1cbQZh;presented;feet;probe_amb_beak.png;narrow_left;1;5;39;2: female;no problems noted;0;i cannot see the ducks feet - i cannot with 100% certainty say that only the ducks beak is blue (TOX20) so must assume that there is a 50% chance the ducks feet are also blue. as they occur independently of each other;1;;;
XUzc3kw1I4qQ;presented;feet;probe_amb_beak.png;narrow_left;1;5;42;2: female;none;0;Looking at the photo it clearly shows the duck with a blue beak so straight away you think Tox20 however you cant see the feet to judge if they are also blue and as there is a equal chance for all mutations i need to say that there is a equal chance of the duck either being Tox20 or Pix67;1;;;
zEu3vG60SGrX;presented;feet;probe_amb_beak.png;narrow_left;1;5;37;1: male;NA;0;There is just as much chance of it being either mutation as learnt earlier;1;;;
ZG6x5SCrFJeR;presented;feet;probe_amb_beak.png;narrow_left;1;5;29;2: female;No issues. Thank you!;0;I can only see the beak. Both mutations named on the probability scale can cause a blue beak so they are both equally likely.;1;;;
07B3m0455AmZ;presented;beak;probe_amb_feet.png;narrow_left;1;5;44;2: female;i came across no errors;0;they are both as likely to be true as each other as given the information we have just read;1;;;
0Ht1gtPGTfZD;presented;beak;probe_amb_feet.png;narrow_left;1;5;63;1: male;all good;0;equally like to have a blue or yellow beak;1;;;
1yGdQNYsOQic;presented;beak;probe_amb_feet.png;narrow_left;1;5;59;4: prefer not to say;"I cannot answer your question about gender as it is not written in meaningful English. Firstly, like most people, I do not 'identify' as anything. This is a cult term with ideological undertones that I do not subscribe to. 
Secondly, gender is a word misappropriated from linguistics for political use by an anti-science, quasi-religious cult and the word has no meaning in human biology. I have a sex. It is fixed at the moment of conception and unalterable and comes in two types only. Consequently your question makes no sense if it is sex that you are referring to. I do not have a gender since I do not indulge in childish fantasies or anti-science religious bunk.";0;There is no greater probability of one mutation over the other. As we cannot see the beak, we cannot judge. It remains equal probability.;1;;;
2oB4JaAAYLRL;presented;beak;probe_amb_feet.png;narrow_left;2;5;54;2: female;NA;0;Because we can't see the beak, there is a 50/50 chance it could be blue;1;;;
5TA1zUIp8cIo;presented;beak;probe_amb_feet.png;narrow_left;1;5;58;1: male;None;0;You cant tell if it has a blue beak .. So I went in the middle.. ;;1;;
7JuXRw0arPKo;presented;beak;probe_amb_feet.png;narrow_left;1;5;30;1: male;n/a;0;I gave the rating I did because I was unable to see the ducks beak, so it was likely he could have had blue feet and a blue beak just as it was likely he only had blue feet;1;;;
7PBgyzstHCFt;presented;beak;probe_amb_feet.png;narrow_left;1;5;39;2: female;No errors, all worked well;0;As you cannot see the ducks beak and both cases are equally likely I felt it was equally likely to be either option.;1;;;
9WYrwVLNR61a;presented;beak;probe_amb_feet.png;narrow_left;2;5;30;2: female;NA;0;Because the chance of either mutation is equally likely as mutations occur equally often in the population;1;;;
a1pSFnxsJ9Al;presented;beak;probe_amb_feet.png;narrow_left;1;5;27;2: female;NA;0;Because all mutations are equally likely to occur, so the duck has blue feet but we can't see its beak;1;;;
AhtnfmJRv7Xe;presented;beak;probe_amb_feet.png;narrow_left;3;5;26;1: male;NA;0;cant see the beak so unable to determine;;1;;
APzYLROHyoBT;presented;beak;probe_amb_feet.png;narrow_left;2;5;65;1: male;none, any mistakes are my own!;0;Both mutations causing Blue feet are equally likely, I do not have enough information to make a decision  between the two as I would need to see the beak;1;;;
bBP0Rr1xdFvP;presented;beak;probe_amb_feet.png;narrow_left;1;5;70;2: female;it was fine, no problems.  I was not sure of my answers because the duck could have two mutations.   Kind of boggled my mind!;0;In retrospect not sure I read it right.  I thought the two poles were one side blue only, other side blue feet and head.   I could not see the head, but saw the feet, so it is equally likely that it is the mutation with both mutations or only the blue mutation, since the three mutations occur equally often ;1;;;
bCmiR2i2KwRG;presented;beak;probe_amb_feet.png;narrow_left;1;5;41;2: female;n/a;0;Without seeing the duck it's equally likely the mutation is only feet or feet and beak, as they are equal chances;1;;;
cENgxdnsjNE3;presented;beak;probe_amb_feet.png;narrow_left;1;5;33;2: female;No errors.;0;We know that it has blue feet but we don't know what colour its beak is, so the blue feet only gene is just as likely as blue feet and beak.;1;;;
CV2qSPAmRRnY;presented;beak;probe_amb_feet.png;narrow_left;2;5;68;1: male;no problems encountered;0;all mutations occur equally, hence if only blue feet are visible, this duck could belong to either group;1;;;
d7bl4clt1rdL;presented;beak;probe_amb_feet.png;narrow_left;1;5;31;2: female;none;0;"I gave the ratings I did because the scenario clearly stated that all three mutations (PIX67, TOX20, NAX20) occur equally often in the duck population of Lake Caldazzo. This means that each duck has the same chance of having any of these mutations. Additionally, the mutations occur independently of each other, meaning that having one mutation does not affect the likelihood of having another mutation. As for the percentage of ducks with a blue beak, the scenario explicitly mentioned that 5% of the ducks in the population have a blue beak. Therefore, my ratings were based on the information provided in the scenario, which emphasized the equal occurrence of mutations and their independent nature.




";1;;;
EA0rsge9RjOo;presented;beak;probe_amb_feet.png;narrow_left;1;5;65;1: male;all seemed ok.;0;We can't see the beak in the picture so it could be either the blue feet, blue beak  mutation, or the  blue feet only mutation, ;;1;;
eJsghIf7jw7g;presented;beak;probe_amb_feet.png;narrow_left;2;5;62;2: female;I did not see any errors. ;0;I think as the duck has blue feet it has a probability of being either. ;1;;;
EpSGzWboUeEd;presented;beak;probe_amb_feet.png;narrow_left;1;5;41;2: female;NA;0;There is no way to tell what mutation the duck has without a test. We do not know if the duck also had a blue beak, and even if it did, does it have just 1 mutation that causes both blue feet and beak, or 2 separate mutations? Either mutation is just as likely.;1;;;
Fbo318zgAjYl;presented;beak;probe_amb_feet.png;narrow_left;1;5;26;2: female;NA;0;I cannot see the duck's beak, so I don't have enough information to be sure about the answer.;;1;;
gI236qr0m0dt;presented;beak;probe_amb_feet.png;narrow_left;1;5;39;2: female;"
If there were any errors, I wasn't able to make note of them. They slid right past me. ;) 
Thank you for creating this study for me to participate in. Have a lovely day!";0;"
I stated that they were both equally likely because I was unable to see the beak of the duck due to the duck having its head under the water. 
Therefore, I am unable to determine whether or not the duck has a blue or an orange beak. I have no way of conferring that it has the mutation or not without visual confirmation. ";1;;;
hOreR8Yi04sR;presented;beak;probe_amb_feet.png;narrow_left;1;5;28;2: female;NA;0;Mainly because the duck's beak is under water. Even though only 5% of the entire duck population has blue beaks, this duck could be one of them, therefore possibly having PIX67. I feel like there is a good chance it could be either.;1;;;
hZfVmjUD89VI;presented;beak;probe_amb_feet.png;narrow_left;1;5;29;1: male;NA;0;Given the that the mutations all had the same prevalence, It would only make sense that there was an equal chance that that duck had either mutation.;1;;;
iWkFQyD1HYN0;presented;beak;probe_amb_feet.png;narrow_left;1;5;29;2: female;NA;0;BECAUSE IT HAS AN EQUAL CHANCE OF BOTH BLUE FEET MAKING MUTATIONS. WE CAN'T SEE THE BEAK.;1;;;
Jm3vZQmcjSn4;presented;beak;probe_amb_feet.png;narrow_left;1;5;42;2: female;No errors.;0;As you could only see the duck's feet, the beak could be normal coloured or blue. Therefore, the mutation could be the one that causes blue feet and leaves the beak unchanged, or the one that causes blue feet and a blue beak. As it can't be determined which of these it is, and the mutations are equally prevalent, I thought that there was equal likelihood of each mutation. ;1;;;
K5MBWARzdFev;presented;beak;probe_amb_feet.png;narrow_left;1;5;53;1: male;NA;0;Simply based on the information that blue feet and blue feet with blue beak were equally likely in the duck population. ;1;;;
MGpYNw7dVPlY;presented;beak;probe_amb_feet.png;narrow_left;1;5;66;1: male;NA;0;I really couldn't properly see the duck's markings, so i went for a 50 50 response.;1;;;
mvXnD0jmPbXo;presented;beak;probe_amb_feet.png;narrow_left;1;5;30;2: female;None;0;I gave the rating as you could only see the blue feet meaning their is a 50% chance it could have an orange or blue beak;1;;;
My8wBguoqPHJ;presented;beak;probe_amb_feet.png;narrow_left;2;5;60;2: female;none;0;If all chances of the mutations are the same then the duck could be either of the two options of blue feet or blue feet and beak as he obviously has blue feet.;1;;;
NaSBq51hEMqi;presented;beak;probe_amb_feet.png;narrow_left;1;5;26;1: male;NA;0;They are equally likely because although we can only see the feet, each mutation has the same likelihood of ocurring;1;;;
NP2ZQjj7ADnR;presented;beak;probe_amb_feet.png;narrow_left;1;5;24;2: female;none ;0;I was previously told that all mutations occur at the same rate at that as i could not see his beak i went with it being a fifty fifty chance of being one or the other. ;1;;;
nTxOyc2yhXze;presented;beak;probe_amb_feet.png;narrow_left;1;5;62;1: male;NA;0;There is an equal chance of both as we can't see the beak got to assume either mutation is present;1;;;
OD2RzpGsKeA3;presented;beak;probe_amb_feet.png;narrow_left;1;5;36;1: male;NA;0;From the photo taken we have the information that the duck has blue feet. So now, we can exclude the TOX20 gene that causes only blue beak. Given the fact that the genes are indepedent from each other and have equal chances of appearing means that both PIX67 and NAX20 have a 5% chance of appearing in the photographed duck.;1;;;
OSrFSZIgZDoI;presented;beak;probe_amb_feet.png;narrow_left;1;5;40;2: female;NA;0;Definitely had blue feet but impossible to see beak - as each mutation has an equal chance of happening it's impossible to say which mutation this duck has!;1;;;
OXkbrF2RZXYa;presented;beak;probe_amb_feet.png;narrow_left;2;5;40;2: female;NA;0;Both cause blue feet, without seeing the beak I was unable to confirm which gene the duck had;;1;;
pjCDPWBpNzug;presented;beak;probe_amb_feet.png;narrow_left;1;5;25;2: female;N/A;0;You can't see the beak so it's equally likely that it was both.;1;;;
PKY6dLB2fgQP;presented;beak;probe_amb_feet.png;narrow_left;1;5;74;1: male;none;0;Beak not seen, so both mutations equally likely;1;;;
PvJszWQ1tww9;presented;beak;probe_amb_feet.png;narrow_left;1;5;55;1: male;NA;0;Independent of each other;;1;;
qMcUktf3cDcV;presented;beak;probe_amb_feet.png;narrow_left;1;5;31;2: female;NA;0;"each of these mutations are equally likely to occur and as you can only see the ducks feet it;s equally likely to be one of either of the mutations ";1;;;
QTTLc074suyd;presented;beak;probe_amb_feet.png;narrow_left;1;5;28;2: female;NA;0;Because the mutations are independent of each other, there's an equal chance that the duck has a blue beak and blue feet. Since only 5 percent of the ducks have blue feet, my assumption is that there is a higher percentage of ducks with blue beaks, making it highly probable that the duck in the picture has a blue beak.;1;;;
qwSd7LvdjEFV;presented;beak;probe_amb_feet.png;narrow_left;2;5;32;2: female;No issues for my self ;0;As the mutations can equally be impacted it’s a 50:50 split if the pix67 or nax20 has occured;1;;;
r8mxZHGBjyEv;presented;beak;probe_amb_feet.png;narrow_left;1;5;44;1: male;NA;0;I cannot comprehend mathematics and numbers due to a mental condition, so I based my gut feeling on seeing of blue feet. ;;1;;
