"subj_code","condition","desktop_conf","attent_conf","prevalence","latent_feature","LS_bias_probe_stim","scale_orient","instr_tests","LS_bias_probe_rating","explanation","bluefeet_choice","bluebeak_choice","typical_choice","bluefeet_bluebeak_choice","age","gender","tech_issues","rating_rec"
"a64wwaSl7L2s",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"There is a 5% chance it only has a blue beak and a 5% chance it has both, and I have no other info","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",37,"1: male",NA,0
"BsTkaFOHHM1U",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"As we can't see the feet and all the mutations are equally likely to occur then there is an equal chance of the duck also having blue feet.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",30,"2: female",NA,0
"C6Gdr3TqmPB4",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"because you could only see a blue beak that means it could be either pix67 or tox20","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",44,"1: male",NA,0
"caYUVqXJQOyG",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"We cannot see the feet, but we know the beak is blue. Therefor, because the chances of having each mutation are equal we must assume that the duck has an equal chance of having both the beak and feet or just the beak.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",35,"1: male","I could not see any errors",0
"cudERnYbFNLl",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"We're unable to see the ducks feet in the image and it has an equal chance of having both a blue beak and feet as it does just by having a blue beak which is the only part of the ducks body we are able to see in the image","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",39,"2: female","No errors found, thanks",0
"dHAMNjxZz5H6",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",2,1,"It said that there is only a 5% chance that it will have blue feet.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",29,"1: male",NA,-4
"DjTd03u4frHu",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"The instructions said all 3 were equally likely, so it could have been either of the two. It was impossible to know based on the picture. ","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",41,"1: male",NA,0
"dNu9XlqpEOuG",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,1,"Since birds with blue feet are only 5% of the population I took that into account when deciding the rating probability I did.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",30,"1: male",NA,-4
"EObF5pRfUUFN",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"5% chance it could be just a blue beak.  5% chance it could be both blue beak and feet.  Equal","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",46,"1: male",NA,0
"eYBlG5C2lBWO",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Because it would be a 50/50 chance whether the feet of this duck would be blue or yellow","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",37,"1: male","none",0
"EyKVQ08Ellbr",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"I chose both equally likely because the duck had a blue beak, meaning he either has just the blue beak or both. ","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",27,"1: male","N/A",0
"f3ezu8NNwohC",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Itis impossible to tell for sure what is going on with the feet but as the chances of something and nothing are the same then it is equally likely for both posiibilities to have occured.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",59,"1: male",NA,0
"GFhfZg5qcWDi",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"The ducks beak was visibly blue, but the feet were not visible, making it impossible to know the color of their feet.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",37,"1: male",NA,0
"HicWZRhSYwgc",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Equal opportunity for both mutations","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",39,"1: male",NA,0
"hW7CsN8tAyrq",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"We can't see the feet so can only judge based on beak which 2 genes are equally likely.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",34,"2: female",NA,0
"ibVjscNv7umQ",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Both mutations cause blue beaks, since both mutations are equally likely to occur, and it is not possible to see the feet, it is possible that the feet are also blue","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",28,"1: male",NA,0
"ir8a8TZw6sDD",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"All occurences are equally likely, so if a duck has a blue beak the chances of it having orange feet or blue feet is equally likely.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",70,"1: male",NA,0
"JdD1Or7aSFGw",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"I could not see the feet so it could be 50 50","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",66,"2: female","none",0
"kO5m1vAFGbMd",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"The two mutations are equally likely to occur.
","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",22,"1: male",NA,0
"L2dNtVXWlvtu",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,2,"There is a 33.33% chance that it could be one of the three however since it has a blue beak that removes one of the mutations which leaves it at a 50% chance for either both a blue beak and blue feet or just a blue beak. ","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",21,"1: male",NA,-3
"leRbnDrPs6nD",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"All three mutations occur at the same rate, so I think the chance that the blue beak is caused by PIX67 or NAX20 should be equal to each other. ","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",33,"1: male",NA,0
"loE2I8HhgrFz",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",2,5,"Cant see its feet so has to be 50/50","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has a NAX20 mutation (blue feet).","This duck has a PIX67 mutation (blue beak and blue feet).",36,"1: male",NA,0
"loKSN0n10G2H",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",2,5,"You can't see the ducks feet","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",48,"2: female","none",0
"LPGFM4MQVGM9",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",2,1,"Only 5% of the population have blue feet so it is highly likely that this duck has only got a blue beak and the mutation TOX20.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",62,"2: female",NA,-4
"LTAlRRlcIoSg",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"we cannot see if the duck has blue feet so it's a 50/50 chance that he has either of the mutations","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",55,"2: female",NA,0
"lw5kQFyGqxpv",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",2,5,"Considering the blue beak, the duck may have been PIX67, but considering the feet don't show, the duck may also be TOX20.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",27,"1: male","All good, thanks!",0
"LWSiXR0h8c3E",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,3,"Obviously the feet cannot be seen, but the beak can so it is at the very least got the TOX20 mutation.
The prevalance of blue feet in the duck population was only 5%. I'd rather rate it on what I could actually see, rather than trying to guess what can't be seen. ","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",37,"2: female",NA,-2
"LYQfZYwIL7pL",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",2,5,"all mutations are equally likely.","This duck has a NAX20 mutation (blue feet).","This duck has a NAX20 mutation (blue feet).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",39,"2: female",NA,0
"m70mUi4wzKYV",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Both mutations cause a blue beak, and they both occur as often as each other so it could realistically be caused by either of the mutations","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",38,"2: female","none",0
"mB4c64anx4wR",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"The Mutations occur equally and I couldn't see the duck's feet - only the beaks. The beak was blue so both mutations were likely","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",54,"2: female","No",0
"MENhmZNTqXf1",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Basically cant see the feet so its basically 50:50","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",61,"1: male","All fine",0
"mjO2sV6kwWgf",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"PIX67 and TOX20 both have blue beaks. The feet weren't shown, so it was impossible to determine which mutation it was between the 2","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",59,"1: male","none",0
"NdUmttuqqukF",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Both cause a blue beak and have same chances of being true. Cannot determine feet colour","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",38,"1: male",NA,0
"nHUlkHhP9nBE",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,4,"Because they’re both equally likely but only 5% have blue feet","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",42,"2: female",NA,-1
"Nj2ARtwBicI6",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",3,3,"definitely blue beak but the probability of having blue feet is 66% chance but ere of side of cautio","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",53,"2: female","none",-2
"NKnJ3dfh6lhi",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Since the duck has a blue beak (instead of the typical yellow), it means it could have the PIX67 or TOX20 mutation. However, since we can't see it's feet, we don't know if they are blue or typical orange. As such, the duck could have either the PIX67 or TOX20 mutation.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",63,"1: male","Nil",0
"Nmn7il5vbsUJ",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"The PIX67 duck has a blue beak and so does the TOX20.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a TOX20 mutation (blue beak) and a NAX20 mutation (blue feet).",72,"2: female","Yes - there was a spelling error near the beginning. You spelled biologist wrongly. (You spelled it as  'bilogists'). You also used the American spelling of 'color', instead of 'colour', as most normal people would spell it.",0
"oEi0IQirvjCY",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Its equally likey the mutation could cause just ble beak or both blue beak and blue feet","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",38,"2: female",NA,0
"P4mCVQMZxRzB",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"The duck had a blue beak but it's feet were not visible, therefore a TOX20 OR PIX67 mutation are both equally likely since they both cause blue beaks.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",26,"1: male",NA,0
"Ph7RUsf0Lj5W",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,0,"I gave the rating of blue beak only because it was said that only 5% of the ducks have blue feet so I think it is pretty unlikely that the duck would have blue feet as well. ","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet) and NAX20 mutation (blue feet).",22,"2: female",NA,-5
"PXWTRPORmWVQ",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Because the probability of each mutation is the same, it is equally likely that this duck either only has a blue beak or has both a blue beak and feet. ","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",29,"2: female",NA,0
"qwVScYWD2ZPh",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Because you cannot see the feet of the duck and so it may not have blue feet but also it might so either mutation is likely.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",44,"2: female","nothing to report",0
"R3wWT59qo2ka",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"the duck has mutation TOX20 but the feet are not visible there is a likely chance that the feet could either be blue or orange","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",30,"2: female","there were no issues",0
"rJfqTAXZF05X",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"We know the duck had a blue beak. The fact it has a mutation doesn't inhibit the chance of it gaining another. Which means that it is equally likely, not definite, that it has blue feet","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",31,"1: male",NA,0
"rLzui8n1PSjp",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Only the beak is visible therefore it is a 50/50 as to which gene caused the blue feet","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",52,"1: male","No issues. Was fun!",0
"t8Mk1G6xw5wV",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,6,"As there is an equal chance that the duck would have blue feet and a blue beak, I believe that the duck would also have blue feet in this picture. However, I kept the rating towards the middle as there is an equal chance.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",32,"2: female","No issues",1
"uleBkCRKhJ1T",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Can only see the blue beak. Could therefore be NAX20. But also may be PIX67 that also has a blue beak. Can't tell the colour of the feet in the picture.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",57,"1: male","None, thank you.",0
"uzISwRY0iNMh",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",2,5,"because its got a blue beak which would indicate tox but you cant see its feet which would could also be blue suggesting pix","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",47,"2: female",NA,0
"vtc19H4A7xmE",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"I don't know if the duck has blue or yellow feet. Because of this, there is an equal chance that it has just a blue beak (5%) or blue feet and beak (5%).","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",47,"1: male",NA,0
"VufLGXkoODDF",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"The image does not show the duck's feet so there is an equal chance that the duck can either have blue feet or yellow feet.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",38,"1: male","None",0
"vUnxjWb7FfK8",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",2,9,"because blue feet is the most common","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has a NAX20 mutation (blue feet).","This duck has a PIX67 mutation (blue beak and blue feet).",24,"1: male","none",4
"W04WwcPk7a6q",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Both Mutations can cause a blue beak, as we can't see the feet, we can't be certain that it is PIX67.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",35,"1: male",NA,0
"W3rpU94OOFB2",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,0,"could only see a blue beak","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",50,"2: female","none",-5
"wDUuYNfpiC9x",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Since the feet can't be seen, it has an equal chance of having either variations","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has PIX67 mutation (blue beak and blue feet) and a TOX20 mutation (blue beak).",25,"2: female","None",0
"x6eAACp284db",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,3,"You can see that the duck has a blue beak. You cannot see the feet as they are under water therefore you cannot say with certainty that the duck has blue feet.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",40,"1: male",NA,-2
"xaVBwn1cbQZh",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"i cannot see the ducks feet - i cannot with 100% certainty say that only the ducks beak is blue (TOX20) so must assume that there is a 50% chance the ducks feet are also blue. as they occur independently of each other","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",39,"2: female","no problems noted",0
"XUzc3kw1I4qQ",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Looking at the photo it clearly shows the duck with a blue beak so straight away you think Tox20 however you cant see the feet to judge if they are also blue and as there is a equal chance for all mutations i need to say that there is a equal chance of the duck either being Tox20 or Pix67","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",42,"2: female","none",0
"YO1yZtsrJwYF",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",2,8,"it was a peaceful environment","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak) and a NAX20 mutation (blue feet).","This duck has no mutation affecting beak and feet color.","This duck has a TOX20 mutation (blue beak) and a NAX20 mutation (blue feet).",33,"1: male","none",3
