subj_code;condition;scale_orient;dv_query;instr_tests;age;gender;tech_issues;rating_rec;explanation;Correct explanation ;Unclear explanation ;explanation focusing on perspective of patient;Inferred absence because of low feature base rate;Inferred absence of latent feature due to visibility;Inferred absence of latent feature for any reason
oEg2ZphZFPIf;1;narrow_left;probability;1;38;2: female;NA;0;most people who have the one mutation will also have the other;;1;;;;
pLEMVvMB8FQT;1;narrow_left;probability;1;32;2: female;NA;0;Both Mit-Bic2 and Mut-Taw4 can cause abnormal gludon blood levels but only Mut-Taw4 causes abnormail Lian blood levels. There is a 50/50 chance that it could be either;1;;;;;
UBKYH2WASinw;1;narrow_left;probability;1;29;3: non-binary;There were no errors in the study that I was aware of.;0;Information about both levels is needed to determine which gene is present. ;1;;;;;
JcOlAwzsZPMZ;1;narrow_left;probability;1;35;2: female;none;0;The two mutations are equally likely to be present so I put the rating in the middle;1;;;;;
6oWOLyQr5tPh;1;narrow_left;probability;1;32;2: female;none;0;The chance of having the two mutations is equal in the general population so if someone has the gludon irregularity they're equally likely to have each of the mutations;1;;;;;
iNcjxzblFROZ;1;narrow_left;probability;1;46;1: male;no;0;As we don't know the results it could be equally as likely. This was also inferred in the original text;1;;;;;
Gyd6geR97F5k;1;narrow_left;probability;1;47;2: female;NA;0;The statistical likelihood is that it could be either mutation  as MUT BIC2 and MUT TAW4 are equally likely to occur in a person;1;;;;;
P1pO731XGSTo;1;narrow_left;probability;1;62;1: male;No errors;0;If you have one you are likely to have both.;;1;;;;
y7HN8og0LGBV;1;narrow_left;probability;1;35;1: male;None;0;We don't know if the patient has Lian blood levels or not . Since we don't know therefore, the possibility of both are the same. ;1;;;;;
R1mTrYqGCMkz;1;narrow_left;probability;1;35;2: female;NA;0;Considering both mutations affect the gludon levels, which is the case for this patient, we can't be sure which mutation it is without further testing of lian levels.;1;;;;;
ifvrktDueHpx;1;narrow_left;probability;1;62;1: male;None.;-3;They already have Mut-Bit2 and may have Mut-Taw4;;1;;;;
wAtnSE4G1Gsl;1;narrow_left;probability;1;26;2: female;NA;0;At the moment they meet criteria for both. Need additional testing to confirm Lian levels ;1;;;;;
ccshhW8GuvWg;1;narrow_left;probability;1;48;1: male;NA;0;Quite frankly, this is a '4min' survery for 60p ? £7ph and im being asked to learn about blood mutations, i made an educated guess. situation is unknown, both are possible, straight down the middle.;;1;;;;
kFqUdXGBbY1s;1;narrow_left;probability;1;39;1: male;NA;0;The chance of the patient having either of the mutations is equal without further studies to determine if they have Mut-Taw4 which would also affect their Lian levels.;1;;;;;
kE87CL3zLSID;1;narrow_left;probability;1;67;2: female;none;0;bic and taw are equally likely - we don't know what Lian is.;1;;;;;
4J7f6mbgGQ0g;1;narrow_left;probability;1;49;2: female;NA;0;both can cause these effects however we dont yet know if he has both but if he does then both are equally likely to have caused his symptoms;1;;;;;
TR5YpfWV1wpc;1;narrow_left;probability;1;47;1: male;NA;0;i just went with my gut;;1;;;;
FURp8tuIypkt;1;narrow_left;probability;2;68;1: male;NA;1;I have tried to work out the answer;;1;;;;
63dxDJ4dgJuv;1;narrow_left;probability;1;30;1: male;NA;0;Since the patient already have  Mut-Bic2, It is equally likely that such patient would also have Mut-Taw4 and the reason is that both are equally likely to occur in a person. Hence, it's impossible for one to be infected with one gene without contracting the other.;;1;;;;
9BZNMDv6qlZD;1;narrow_left;probability;1;57;2: female;NA;0;It states that there is a chance that they have both so I felt this was best answer.;;1;;;;
nm3M9KwwXPmW;1;narrow_left;probability;1;28;2: female;None;0;"
It is equally as likely because the mutations are equally likely to occur in each person. ";1;;;;;
qLI8zozST4q8;1;narrow_left;probability;1;55;1: male;none;0;it is equally likely the patient has either;1;;;;;
TsEdwXy8Ug1D;1;narrow_left;probability;1;39;1: male;NA;0;It was stated at the beginning that both mutations are as likely to occur as each other so that person could have had either equally.;1;;;;;
zJ9dOwsPpO0A;1;narrow_left;probability;1;38;1: male;No issues;0;I believe both mutations to be equally likely, since the common factor of changed gludon bloods levels is shared between both types and present in this patient. Since we do not know about the Lian blood levels, it is a 50-50 chance.;1;;;;;
tFwuw3Qg8kmT;1;narrow_left;probability;1;55;2: female;no problems;0;Given that both mutations are equally likely to occur in a person and both cause raised Gludon levels it is impossible to tell which mutation this person has without further testing for raised Lian levels;1;;;;;
ha5KrmopC42L;1;narrow_left;probability;1;64;1: male;Everything went well;0;In the initial text it said that both mutations were likely to occur hence my answer;;1;;;;
k80l5O6Kc7Ol;1;narrow_left;probability;1;51;1: male;I didn't notice any, but there were terms I'm not familiar with!;-3;We know he/she has Variant2. We don't know if they have variant4. So I took an estimated guess at where on the scale it might be that they have both variants;;1;;;;
JZXHnhwFswOQ;1;narrow_left;probability;1;31;2: female;none;0;both mutations occur equally, so without knowing the Lian level it is likely to be either at this point;1;;;;;
kOHiLM57uhxA;1;narrow_left;probability;1;53;2: female;none;0;from my limited understanding the probability is similar;;1;;;;
wQV3AALH4Dvt;1;narrow_left;probability;1;31;2: female;NA;0;We don't know if they have have an unequal Lian blood level which is a sympton of Mut-Taw4, and as they are equally likely to occur until we have this information it is equally likely to be both. ;1;;;;;
vxkoPbZJ6aSi;1;narrow_left;probability;1;25;1: male;NA;0;The abnormal Gludon levels are a guarenteed symptom of both conditions, meaning this does nothing to indicate which one is more likely. The knowledge of whether Lian levels are different would identify one condition, but this was unknown. Therefore, since both conditions occur at an equal rate in the general population, both are equally likely to be present in this case, based on what information was provided.;1;;;;;
M00Z30zULpEG;1;narrow_left;probability;1;53;1: male;No issues;0;It sounds like they haven't been tested for Lian levels. As the 2 mutations both cause changes in Gludon and are equally likely I therefore picked the equally like for the cause of the abnormal Gludon levels;1;;;;;
PBkyvX3Z6zFs;1;narrow_left;probability;1;37;2: female;NA;2;As one has already been found it increases the likelihood but is not absolute as it could be both ;;1;;;;
FIWKQmB3CDV5;1;narrow_left;probability;1;24;2: female;n/a;0;Since we do not know his Lian levels yet and both mutations occur equally, he could have both;1;;;;;
e9mr9HpTF4nP;1;narrow_left;probability;1;38;2: female;NA;0;The text said both were equally likely, so that why I went with that.;1;;;;;
WlfHcF7gA2dg;1;narrow_left;probability;1;30;1: male;NA;-1;the number of people in the general population who have this statistically speaking will have the other;;1;;;;
ZWZo7f32TS1K;1;narrow_left;probability;1;31;1: male;NA;0;there's an equal chance of each diagnosis, so knowing the patient has 1 there is an equal chance they will have the other;;1;;;;
MkXUCnhMJJ53;1;narrow_left;probability;1;31;1: male;N/A;0;Based on the previous statistics, both are equally likely.;1;;;;;
C69FBo69Ulpe;1;narrow_left;probability;1;38;1: male;NA;0;Both cause abnormal Gludon levels and Lian levels aren't known so you cannot discount either;1;;;;;
DGVgyhAMvVfj;1;narrow_left;probability;1;38;2: female;None;0;"Equals numbers of the population have different conditions.  Therefore it is equally likely that either of them could be causing the patients issues.

";1;;;;;
M8dXrMuyFacI;1;narrow_left;probability;1;45;2: female;n/a;3;Because they are both likely to appear equally;1;;;;;
EHKkq5zTLPdN;1;narrow_left;probability;1;47;2: female;some of the text is really small - could make it all the same size;0;both mutations affect Gludon levels and occur equally frequently in the population. Until we know whether Lian levels are affected, it could be due to either mutation;1;;;;;
579qWSbya2zf;1;narrow_left;probability;1;28;2: female;NA;0;There was an equal chance of having both mutations so it wasn't possible to tell which of the mutations caused it. ;1;;;;;
KokPEW4hGYWc;1;narrow_left;probability;1;47;1: male;None;0;You only know that the person has abnormal gludon levels. The two gene mutations are equally likely to occur. Therefore if you only know they have abnormal levels of gludon. It is equally likely to be either gene mutation. ;1;;;;;
yBcxtdfUpu2u;1;narrow_left;probability;1;41;1: male;No errors;0;The percentage of the case study I felt made it equally likely that the patient could have either;1;;;;;
dFOgj15orWFE;1;narrow_left;probability;1;39;2: female;none to record;0;it stated that both are equally likley following the study done with 200 people and that if they have one they likely have the other ;;1;;;;
hYHxdwMdaFS6;1;narrow_left;probability;1;44;2: female;NA;0;I was given the information that both conditions are equally likely to happen. Since abnormal Gludon levels are a sypmtom of both and abnormal Lian levels is only a symptom of one so until more information is provided. ;1;;;;;
O9BUr8MKLk3h;1;narrow_left;probability;1;52;1: male;It all made sense to me. I hope my sense of logic is working this morning.;0;The likelihood of Bic2 is the same as for Taw4. Both conditions involve Gludon abnormality. Lian does not come into my assessment. ;1;;;;;
JHCU36Kkcho2;1;narrow_left;probability;1;52;1: male;I didn't see any.;0;The mutations are equally likely, and the reported condition, raised Gludon levels, can result from either. So I said that the chance is equal that either mutation was the cause.;1;;;;;
eZEy3dmfKzuj;1;narrow_left;probability;1;36;2: female;no issues;0;In the information it said that both mutations were equally likely to occur in a person.;1;;;;;
C9irTN6Bd9LK;1;narrow_left;probability;1;47;1: male;NA;0;if the gene is equally likely the test for lian determines what gene it is;1;;;;;
DrzrNDrEA0CC;1;narrow_left;probability;1;37;1: male;NA;0;Both are equally likely to occur in a person in the population;1;;;;;
SW2AhKi7THhx;1;narrow_left;probability;1;31;2: female;NA;0;The previous slide said that these conditions were equally likely. Given that both affect Gludon levels, we now need to find out what is happening with the Lian levels.;1;;;;;
PWlRR19JPP20;1;narrow_left;probability;2;51;2: female;no problems and everything worked well;0; Mut-Bic2 and Mut-Taw4 both cause raised Gludon levels and as its not yet known if patient 53 has raised Lian levels it could be either;1;;;;;
ejqKiLEFwdx4;1;narrow_left;probability;1;42;2: female;None;0;As the likelyhood of having any of them is equal.;1;;;;;
L8vbVixYCCWe;1;narrow_left;probability;1;38;1: male;N/A;0;It's known that Mut Bic2 and Mut Taw4 are equally likely to occur in a person. It's the same number of people in the population that have each.;1;;;;;
JwqOZUBCuX2C;1;narrow_left;probability;1;56;2: female;everything was good thanks;0;They weren't sure what the patient already had so that is why I opted for both the same;1;;;;;
PHTf976TeFUS;1;narrow_left;probability;1;41;2: female;none;0;The previous text stated both abnormalities are equally likely.  The patient has been found to have impaired Gludon levels, therefore has a chance of either abnormality.;1;;;;;
UVXFqqxBfF2U;1;narrow_left;probability;1;22;3: non-binary;i didnt notice anything wrong;0;they both have an equal chance to be spread to them so it could be either.;1;;;;;
QCXjOIrNi4Ft;1;narrow_left;probability;1;46;1: male;None;0;Both mut bic2 and mut taw4 are the same;;1;;;;
eoNv9jzKb6xa;1;narrow_left;probability;2;55;1: male;none thanks;0;THere was a 50% chancw that the patient had either mutation;1;;;;;
sURrNaw5N0Oj;1;narrow_left;probability;1;38;1: male;No technical issues;0;I'd like to start by expressing uncertainty about the answer I offered. I made the decision based on a specific piece of information previously received - that Mut-Bic2 and Mut-Taw4 (I think these are the right names!) are equally likely to occur in a person. I disregarded another piece of information - that in a study of 200 participants only 10 of them had abnormal Lian levels. Perhaps I should have factored this in - however, I went with my gut instinct! I would be interested in discovering the correct conclusion based on the information provided if this is possible? Thank you - I enjoyed taking part in this study. Good luck with your research. Best wishes;1;;;;;
l2J6GttTUlp2;1;narrow_left;probability;3;40;1: male;NA;-3;I thought it was highly likely that since his Mut-Taw4 were abnormal that it is also likely that his Mut-Bic2 would be abnormal as well so i selected closer to that choice.;;1;;;;
Y3ooqscU6wDF;1;narrow_left;probability;1;36;1: male;NA;0;As we havent tested for LIAN yet, it is still just as likely they have either illness.;1;;;;;
j51MUiXH2VJC;1;narrow_left;probability;2;43;1: male;NA;-1;Because at this moment one has been proven while the other has not, the likely cause may change at a later date when we know more;;1;;;;
hhZ0JUmQ1qUc;1;narrow_left;probability;2;49;1: male;NA;0;both variations have gludon levels, though the twa4 has abnormal levels of lian is undisclosed at this stage;1;;;;;
8yxbgUVHzst1;1;narrow_left;probability;1;40;2: female;NA;0;It was stated that a person is equally likely to have both mutations. ;1;;;;;
3DReKm6XageL;1;narrow_left;probability;1;39;2: female;NA;0;The mutations are equally as likely and both cause the results seen. Without further testing we can't determine which is the reason;1;;;;;
4JbpchZ87oYY;1;narrow_left;probability;1;28;2: female;NA;0;It stated that it was likely for an individual to have the MutTaw gene if they have the MutBic gene so it would follow that it would be vice versa.;;1;;;;
6aa1aJ30MraZ;1;narrow_left;probability;1;31;2: female;NA;0;Both of the mutations cause abnormal gludon blood levels so for me it feels 50/50 and like a fair chance overall really;1;;;;;
RNjMMXrp9ZB3;1;narrow_left;probability;1;55;1: male;NA;0;If they occur with equal frequency, then without testing for Lidan levels we cannot tell which is the cause.;1;;;;;
UdXfNplwXrf7;1;narrow_left;probability;1;36;2: female;NA;0;"both mutations cause abnormal Gludon so they are equally likely to be the cause since we don;t know if there is abnormal Lian which would point towards mut-taw4";1;;;;;
SR5FdEWu20Gp;1;narrow_left;probability;1;43;2: female;No issues;0;Both conditions are equally likely to occur so could be either;1;;;;;
Sk1pm5abvWQ5;1;narrow_left;probability;1;27;1: male;NA;0;Both of them cause abnormal Gludon blood levels, so knowing that they have abnormal levels means it could be either of them. And they are both equally likely to occur in a person. Without knowing more, there's an equal chance of it being either of them.;1;;;;;
9mgorCohzEcs;1;narrow_left;probability;1;52;2: female;None;0;Both mutations are equally as likely to occur so there is a 50/50 chance of the patient having both types of mutations.;1;;;;;
ufHugdNsCk5c;1;narrow_left;probability;1;36;1: male;NA;0;"Both as likely and no way to know for sure until check the lian levels
";1;;;;;
veH9F8P4SuC3;1;narrow_left;probability;1;49;1: male;no problems;-4;The chances are still fairly low the both cases will be evident, so I think it's likely that only the first will be found.;;1;;;;
3ehlTzLllUyr;1;narrow_left;probability;1;42;1: male;NA;0;Both genes are of equal prevalence, and the only symptom currently known is characteristic of both.;1;;;;;
gOS5kXAE3YZL;1;narrow_left;probability;1;34;2: female;NA;0;most equally likely;1;;;;;
UhFPnsrLKEOE;1;narrow_left;probability;1;22;2: female;N/A;0;Both conditions affect Gludon levels and are equally likely to occur in the population, so are both equally likely in this situation.;1;;;;;
3kHhJi9i6Rjb;1;narrow_left;probability;1;56;1: male;NA;-1;Not exactly clear that the person would have abnormal Lian  blood levels, but perhaps slightly more likely;;1;;;;
3UycF6irYw9j;1;narrow_left;probability;2;52;1: male;NA;0;If the person has one they are as likely to have the second disorder;;1;;;;
RKQnzwM51ojP;1;narrow_left;probability;3;27;2: female;NA;0;it says they are both equally liker to accure in a person;1;;;;;
6MFw7mYEtIpR;1;narrow_left;probability;1;37;1: male;no errors;0;As both are equally occurring, and both effect that specific gene, there should be a 50 / 50 chance that the Lian is also affected.;1;;;;;
2eH1UPoykIWV;1;narrow_left;probability;1;50;2: female;None that I personally came across;0;As abnormal Gludon levels are a sympton of both strains it is equally likely to be either physiological alteration you would need the Lian result to be sure;1;;;;;
pRalX5a3nLS3;1;narrow_left;probability;1;32;1: male;none;0;you said you don't yet know which indicates you haven't yet looked.;;1;;;;
28U4LTHHu1mD;1;narrow_left;probability;1;23;1: male;NA;0;I think it is very difficult to estimate given the information and the size of the pool, therefore I estimated equal;;1;;;;
InQtvXSTRqEh;1;narrow_left;probability;1;23;2: female;NA;-3;As we are not yet sure that he has reduced Lian levels, I decided to put it as more likely to be the BIC mutation as there is no evidence that there are reduced Lian levels yet.;;1;;;;
j6pcKTxzBGpu;1;narrow_left;probability;1;34;2: female;N/A;0;Since there is an equal chance of each of the Bic2 or Taw4 mutations occuring, and since both cause abnormal Gludon blood levels, only knowing that a patient has abnormal Gludon levels cannot determine whether or not this is due to a Bic2 or Taw4 mutation.;1;;;;;
1OWMEutqwisk;1;narrow_left;probability;1;60;1: male;None;0;I must admit the jargon is quite hard to remember and recall properly, but I think that both are equally likely, if someone has one, the n they are as likely to have both?;;1;;;;
IwfW0St1cI3m;1;narrow_left;probability;1;50;2: female;NA;0;I was told that it could be equally likely for a patient to have either.;1;;;;;
w6B2DzBYrENl;1;narrow_left;probability;1;57;1: male;NA;-3;A person has an equal chance of Bic2 or Taw4. Therefore having Gludon does not automatically mean someone also has Lian.;;1;;;;
4J5xcJSpWJUU;1;narrow_left;probability;1;58;2: female;All was 100%.  Thank you;0;MutBic 2 and MutTaw 4 are equally likely to occur in a human, thats the reason for my answer.;1;;;;;
ZjkgU7aGr2Bf;1;narrow_left;probability;1;32;2: female;none;0;Both cause the gludon abnormalities so could be either, if they dont have the ludon then it will be the first, if they do then the second;1;;;;;
m7dUdRoUxkXy;1;narrow_left;probability;1;37;1: male;NA;2;It was just a judgement made based on the facts given in the write up.;;1;;;;
Li8FhaQbOu6c;1;narrow_left;probability;1;50;2: female;NA;0;Both mutations are equally likely to happen in each person;1;;;;;
aUz3JWasr1NZ;2;narrow_right;probability;1;64;1: male;You appear to have miscounted the number of genders;0;Both conditions are equally prevalent and this has not changed with the existing diagnosis;1;;;;;
XxvzBFSGgiIA;2;narrow_right;probability;1;62;2: female;NA;2;It seems the most probable reason in the circumstances.;;1;;;;
2OASAaWXPUVY;2;narrow_right;probability;1;38;1: male;none;-3;It was stated that out of the 200 patients, only 10 have confirmed Gludon and Lidan abnormalities.  That is five percent.  It was also noted that the general population is equally prone to either condition.  Thinking it through, a perwson might not have the symptoms showing, so it may be a false negative.  If  anything, it should be closer to the middle instead of moving to the the right.;;;;1;;
to9sPfPUhYge;2;narrow_right;probability;1;31;2: female;NA;0;it means its like that  he could have lian;;1;;;;
s6wHGHJsH80t;2;narrow_right;probability;1;35;1: male;NA;0;"Because they are equally likely to occur; and without full testing we cannot narrow it down";1;;;;;
dQZ4YbgIcLqB;2;narrow_right;probability;1;39;1: male;NA;5;Mu taw4 is the only one that affected by the lian;;1;;;;
ReOTIROuFI1o;2;narrow_right;probability;2;33;2: female;no errors;0;1st and 2nd mutation has an equal chance. Let's say 10-10 people had 1st and 2nd mutation, poor patient is part of this unlucky group, he has an equal chance of being in one of the sub-groups.;1;;;;;
MASkajjnXPlg;2;narrow_right;probability;1;59;2: female;NA;0;One is likely to have the two mutations reasonably equally;1;;;;;
8sWgylDMzfeI;2;narrow_right;probability;2;49;2: female;NA;0;Until the other test results come in you can't say for sure one way or the other.;1;;;;;
VYFQP3llw97b;2;narrow_right;probability;1;35;2: female;Not that i was aware of;0;They don't know about the Lian yet only Gludon and both mutations cause abnormal gludon levels and both mutations are equally likely in general population so i belive it is equal chance of being either mutation;1;;;;;
Ef0NjOhI6Xvi;2;narrow_right;probability;1;45;2: female;NA;0;People who have Mut-Taw4 are the same percentage of the population as people who have Mut Bic2 so it is equally likely that the patient might have both;1;;;;;
uwUc4goo3jCs;2;narrow_right;probability;1;60;1: male;no errors;0;Both mutations are equally likely. The information given doesn't give any clues as to which mutation the patient has.;1;;;;;
LefgPgcrKdLv;2;narrow_right;probability;1;26;1: male;NA;0;As only the Gludon levels are effected (as far as we know), it is equally likely that either mutation is possible. Until we know more, we can't determine which they may have.;1;;;;;
uj8EYQ7Iq7E8;2;narrow_right;probability;1;26;1: male;NA;0;Because we don't know the Lian blood levels of the patient, we cannot deduce which mutation they have, so it's equally likely ;1;;;;;
ttCEMNLVVN8k;2;narrow_right;probability;1;34;2: female;NA;0;Both options are equally likely, as the Gian mutation is an aspect of both.;1;;;;;
euY4hIjxQSmo;2;narrow_right;probability;1;31;1: male;NA;0;I believe as there is an equal possibility of either condition being the cause, it was right to vote down the middle ;1;;;;;
98hjkkVorXVV;2;narrow_right;probability;1;58;1: male;No errors, only in my brain, as it back fired trying to understand muc bac gludon lians .. :);0;They both cause gludon problems but only one varient causes loan problems, to have gludon problems is expected in both mutations ;1;;;;;
DZu62s39oPMx;2;narrow_right;probability;1;58;2: female;NA;1;they are likely as each other but MUT-BIC2 has created the levels, this is due to the number of people ;;1;;;;
FgpJKFBMNBh2;2;narrow_right;probability;1;44;1: male;NA;0;both genes affect the Gludon levels but only one of them affects the Lian levels, therefore t could be either yet as we dont know if lian levels are abnormal;1;;;;;
a9SWZ2xqy9ya;2;narrow_right;probability;1;26;2: female;none;0;If they have only had their gludon levels tested then we cannot know which one they have. And as they both have the same probability, I put it halfway between both.;1;;;;;
QtPeGI2bSPUM;2;narrow_right;probability;1;27;2: female;No issues;0;Both mutations cause abnormal Gludon, but only one causes abnormal Lian which we don't know the result of yet. As we don't know if Lian is normal or abnormal, the possibility is equal between the two mutations.;1;;;;;
h2Ypgp2MMKgz;2;narrow_right;probability;3;27;2: female;No errors;0;My rating was made because it sounds as though the person has both. ;;1;;;;
pnSkRoW2wiKi;2;narrow_right;probability;2;31;2: female;NA;0;as the gludon blood levels were abnormal it is just as likely that it could be either mutation;1;;;;;
KAR0ayuGyEXQ;2;narrow_right;probability;1;50;1: male;No errors.;0;The mutations appear in equal percentages of the population, so the person stated has an equal chance of having either of the mutations.;1;;;;;
FVl5v2JyTBzW;2;narrow_right;probability;2;38;1: male;n/a;0;Information said that both types were equally likely found in people.;1;;;;;
zQ229tRTgfvm;2;narrow_right;probability;2;58;1: male;NA;0;Since both are equally likely, unless there is more info about Lian, then we cannot deduce further;1;;;;;
DTMI5wSbn8pq;2;narrow_right;probability;1;25;2: female;NA;-1;Because both Mut-Taw4 and Mut-Bic2 are most likely to be the course give they're both equally common.;;1;;;;
rknfiNo740Be;2;narrow_right;probability;1;65;1: male;NA;0;we were told there is an equal probability of Taw 4 and Bic 2 being the cause.;1;;;;;
JvCbEtR5QfOi;2;narrow_right;probability;1;51;2: female;n/a;0;It seems impossible to tell without knowing Lian levels however, both are equally prevelant in the population;1;;;;;
qJGpdxoCH6Sj;2;narrow_right;probability;1;29;2: female;None;-3;It was clear that the patient had the first mutation. It is highly unlikely that they would have the other one ;;1;;;;
WzQ9zSVNpAj0;2;narrow_right;probability;1;29;1: male;NA;0;It was stated previously that a person with the mutagion could equally have either one, so I went for the middle one ;1;;;;;
yjlpLkcZnIL1;2;narrow_right;probability;2;32;1: male;none;2;Based on the given information, Patient #53 has either Mut-Bic2 or Mut-Taw4. It is known that Mut-Bic2 causes abnormal Gludon blood levels, which has already been confirmed in the patient. However, the presence of abnormal Lian blood levels is still unknown. Mut-Taw4, on the other hand, causes both abnormal Gludon and abnormal Lian blood levels.;;1;;;;
DEWxOMvJ38sR;2;narrow_right;probability;1;48;2: female;No errors;0;I chose equally likely as Mut-Taw4 and Mut-Bic2 are equally prevalent. In the test example it used Lian blood levels as the indicator and Lian blood levels are only found in one mutation. Abnormal Gludon levels are found in both mutations and therefore that was the reasoning behing the selection.;1;;;;;
4ozTW1ZnipBh;2;narrow_right;probability;1;36;1: male;NA;0;Since we don't know about lian, we cannot rule out either one. And there is an equal chance of both occuring. ;1;;;;;
GeSdE4etdLmS;2;narrow_right;probability;1;59;2: female;NA;0;It is possible for the patient to get both mutations ;;1;;;;
ElrRmBu8XMNP;2;narrow_right;probability;1;67;1: male;NA;0;As you have not testes  for lien levels it is right to assume that both abnormalities could still be the cause.  ;1;;;;;
NOfdqVqA5hyv;2;narrow_right;probability;1;30;1: male;NA;-2;Well it is unclear yet if patient #53 has abnormal levels of lian thats why i was slightly leaning towards mut2;;1;;;;
Ty4jJSCXEEuW;2;narrow_right;probability;2;37;2: female;none;0;because they are equally likely to occur in a person;1;;;;;
3kUTo1wSuxEf;2;narrow_right;probability;1;49;1: male;NA;0;due to the prevalence of the gene occurring equally within the population and that gludon levels occur in both gene mutations;1;;;;;
QbvYEYSBS73O;2;narrow_right;probability;1;43;2: female;none;0;both are likely to cause the abnormal gludon blood levels so its equally likely to be either if the patient has abnormal levels there;1;;;;;
H1OfNCXLdBIE;2;narrow_right;probability;1;40;1: male;none;0;It could be either mutation from the information I have been given;1;;;;;
doqEtxUjwMLu;2;narrow_right;probability;3;30;1: male;NA;0;The only difference is the lian levels and both are equally likely, so until we know the lian levels it is not possible to guess which one it could be . ;1;;;;;
