"subj_code","condition","desktop_conf","attent_conf","scale_orient","dv_query","instr_tests","DV_rating","explanation","age","gender","tech_issues","rating_rec"
"pLEMVvMB8FQT",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both Mit-Bic2 and Mut-Taw4 can cause abnormal gludon blood levels but only Mut-Taw4 causes abnormail Lian blood levels. There is a 50/50 chance that it could be either",32,"2: female",NA,0
"UBKYH2WASinw",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Information about both levels is needed to determine which gene is present. ",29,"3: non-binary","There were no errors in the study that I was aware of.",0
"JcOlAwzsZPMZ",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The two mutations are equally likely to be present so I put the rating in the middle",35,"2: female","none",0
"6oWOLyQr5tPh",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The chance of having the two mutations is equal in the general population so if someone has the gludon irregularity they're equally likely to have each of the mutations",32,"2: female","none",0
"iNcjxzblFROZ",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"As we don't know the results it could be equally as likely. This was also inferred in the original text",46,"1: male","no",0
"Gyd6geR97F5k",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The statistical likelihood is that it could be either mutation  as MUT BIC2 and MUT TAW4 are equally likely to occur in a person",47,"2: female",NA,0
"P1pO731XGSTo",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"If you have one you are likely to have both.",62,"1: male","No errors",0
"y7HN8og0LGBV",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"We don't know if the patient has Lian blood levels or not . Since we don't know therefore, the possibility of both are the same. ",35,"1: male","None",0
"R1mTrYqGCMkz",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Considering both mutations affect the gludon levels, which is the case for this patient, we can't be sure which mutation it is without further testing of lian levels.",35,"2: female",NA,0
"ifvrktDueHpx",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,2,"They already have Mut-Bit2 and may have Mut-Taw4",62,"1: male","None.",-3
"wAtnSE4G1Gsl",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"At the moment they meet criteria for both. Need additional testing to confirm Lian levels ",26,"2: female",NA,0
"ccshhW8GuvWg",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Quite frankly, this is a '4min' survery for 60p ? £7ph and im being asked to learn about blood mutations, i made an educated guess. situation is unknown, both are possible, straight down the middle.",48,"1: male",NA,0
"kFqUdXGBbY1s",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The chance of the patient having either of the mutations is equal without further studies to determine if they have Mut-Taw4 which would also affect their Lian levels.",39,"1: male",NA,0
"kE87CL3zLSID",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"bic and taw are equally likely - we don't know what Lian is.",67,"2: female","none",0
"4J7f6mbgGQ0g",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"both can cause these effects however we dont yet know if he has both but if he does then both are equally likely to have caused his symptoms",49,"2: female",NA,0
"TR5YpfWV1wpc",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"i just went with my gut",47,"1: male",NA,0
"FURp8tuIypkt",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",2,6,"I have tried to work out the answer",68,"1: male",NA,1
"63dxDJ4dgJuv",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Since the patient already have  Mut-Bic2, It is equally likely that such patient would also have Mut-Taw4 and the reason is that both are equally likely to occur in a person. Hence, it's impossible for one to be infected with one gene without contracting the other.",30,"1: male",NA,0
"9BZNMDv6qlZD",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"It states that there is a chance that they have both so I felt this was best answer.",57,"2: female",NA,0
"nm3M9KwwXPmW",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"
It is equally as likely because the mutations are equally likely to occur in each person. ",28,"2: female","None",0
"qLI8zozST4q8",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"it is equally likely the patient has either",55,"1: male","none",0
"TsEdwXy8Ug1D",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"It was stated at the beginning that both mutations are as likely to occur as each other so that person could have had either equally.",39,"1: male",NA,0
"zJ9dOwsPpO0A",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"I believe both mutations to be equally likely, since the common factor of changed gludon bloods levels is shared between both types and present in this patient. Since we do not know about the Lian blood levels, it is a 50-50 chance.",38,"1: male","No issues",0
"tFwuw3Qg8kmT",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Given that both mutations are equally likely to occur in a person and both cause raised Gludon levels it is impossible to tell which mutation this person has without further testing for raised Lian levels",55,"2: female","no problems",0
"ha5KrmopC42L",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"In the initial text it said that both mutations were likely to occur hence my answer",64,"1: male","Everything went well",0
"k80l5O6Kc7Ol",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,2,"We know he/she has Variant2. We don't know if they have variant4. So I took an estimated guess at where on the scale it might be that they have both variants",51,"1: male","I didn't notice any, but there were terms I'm not familiar with!",-3
"JZXHnhwFswOQ",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"both mutations occur equally, so without knowing the Lian level it is likely to be either at this point",31,"2: female","none",0
"kOHiLM57uhxA",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"from my limited understanding the probability is similar",53,"2: female","none",0
"wQV3AALH4Dvt",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"We don't know if they have have an unequal Lian blood level which is a sympton of Mut-Taw4, and as they are equally likely to occur until we have this information it is equally likely to be both. ",31,"2: female",NA,0
"vxkoPbZJ6aSi",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The abnormal Gludon levels are a guarenteed symptom of both conditions, meaning this does nothing to indicate which one is more likely. The knowledge of whether Lian levels are different would identify one condition, but this was unknown. Therefore, since both conditions occur at an equal rate in the general population, both are equally likely to be present in this case, based on what information was provided.",25,"1: male",NA,0
"M00Z30zULpEG",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"It sounds like they haven't been tested for Lian levels. As the 2 mutations both cause changes in Gludon and are equally likely I therefore picked the equally like for the cause of the abnormal Gludon levels",53,"1: male","No issues",0
"PBkyvX3Z6zFs",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,7,"As one has already been found it increases the likelihood but is not absolute as it could be both ",37,"2: female",NA,2
"FIWKQmB3CDV5",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Since we do not know his Lian levels yet and both mutations occur equally, he could have both",24,"2: female","n/a",0
"e9mr9HpTF4nP",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The text said both were equally likely, so that why I went with that.",38,"2: female",NA,0
"WlfHcF7gA2dg",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,4,"the number of people in the general population who have this statistically speaking will have the other",30,"1: male",NA,-1
"ZWZo7f32TS1K",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"there's an equal chance of each diagnosis, so knowing the patient has 1 there is an equal chance they will have the other",31,"1: male",NA,0
"MkXUCnhMJJ53",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Based on the previous statistics, both are equally likely.",31,"1: male","N/A",0
"C69FBo69Ulpe",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both cause abnormal Gludon levels and Lian levels aren't known so you cannot discount either",38,"1: male",NA,0
"DGVgyhAMvVfj",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Equals numbers of the population have different conditions.  Therefore it is equally likely that either of them could be causing the patients issues.

",38,"2: female","None",0
"M8dXrMuyFacI",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,8,"Because they are both likely to appear equally",45,"2: female","n/a",3
"EHKkq5zTLPdN",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"both mutations affect Gludon levels and occur equally frequently in the population. Until we know whether Lian levels are affected, it could be due to either mutation",47,"2: female","some of the text is really small - could make it all the same size",0
"579qWSbya2zf",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"There was an equal chance of having both mutations so it wasn't possible to tell which of the mutations caused it. ",28,"2: female",NA,0
"KokPEW4hGYWc",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"You only know that the person has abnormal gludon levels. The two gene mutations are equally likely to occur. Therefore if you only know they have abnormal levels of gludon. It is equally likely to be either gene mutation. ",47,"1: male","None",0
"yBcxtdfUpu2u",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The percentage of the case study I felt made it equally likely that the patient could have either",41,"1: male","No errors",0
"dFOgj15orWFE",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"it stated that both are equally likley following the study done with 200 people and that if they have one they likely have the other ",39,"2: female","none to record",0
"hYHxdwMdaFS6",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"I was given the information that both conditions are equally likely to happen. Since abnormal Gludon levels are a sypmtom of both and abnormal Lian levels is only a symptom of one so until more information is provided. ",44,"2: female",NA,0
"O9BUr8MKLk3h",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The likelihood of Bic2 is the same as for Taw4. Both conditions involve Gludon abnormality. Lian does not come into my assessment. ",52,"1: male","It all made sense to me. I hope my sense of logic is working this morning.",0
"JHCU36Kkcho2",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The mutations are equally likely, and the reported condition, raised Gludon levels, can result from either. So I said that the chance is equal that either mutation was the cause.",52,"1: male","I didn't see any.",0
"eZEy3dmfKzuj",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"In the information it said that both mutations were equally likely to occur in a person.",36,"2: female","no issues",0
"C9irTN6Bd9LK",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"if the gene is equally likely the test for lian determines what gene it is",47,"1: male",NA,0
"DrzrNDrEA0CC",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both are equally likely to occur in a person in the population",37,"1: male",NA,0
"SW2AhKi7THhx",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The previous slide said that these conditions were equally likely. Given that both affect Gludon levels, we now need to find out what is happening with the Lian levels.",31,"2: female",NA,0
"PWlRR19JPP20",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",2,5," Mut-Bic2 and Mut-Taw4 both cause raised Gludon levels and as its not yet known if patient 53 has raised Lian levels it could be either",51,"2: female","no problems and everything worked well",0
"ejqKiLEFwdx4",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"As the likelyhood of having any of them is equal.",42,"2: female","None",0
"L8vbVixYCCWe",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"It's known that Mut Bic2 and Mut Taw4 are equally likely to occur in a person. It's the same number of people in the population that have each.",38,"1: male","N/A",0
"JwqOZUBCuX2C",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"They weren't sure what the patient already had so that is why I opted for both the same",56,"2: female","everything was good thanks",0
"PHTf976TeFUS",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The previous text stated both abnormalities are equally likely.  The patient has been found to have impaired Gludon levels, therefore has a chance of either abnormality.",41,"2: female","none",0
"UVXFqqxBfF2U",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"they both have an equal chance to be spread to them so it could be either.",22,"3: non-binary","i didnt notice anything wrong",0
"QCXjOIrNi4Ft",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both mut bic2 and mut taw4 are the same",46,"1: male","None",0
"eoNv9jzKb6xa",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",2,5,"THere was a 50% chancw that the patient had either mutation",55,"1: male","none thanks",0
"sURrNaw5N0Oj",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"I'd like to start by expressing uncertainty about the answer I offered. I made the decision based on a specific piece of information previously received - that Mut-Bic2 and Mut-Taw4 (I think these are the right names!) are equally likely to occur in a person. I disregarded another piece of information - that in a study of 200 participants only 10 of them had abnormal Lian levels. Perhaps I should have factored this in - however, I went with my gut instinct! I would be interested in discovering the correct conclusion based on the information provided if this is possible? Thank you - I enjoyed taking part in this study. Good luck with your research. Best wishes",38,"1: male","No technical issues",0
"l2J6GttTUlp2",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",3,2,"I thought it was highly likely that since his Mut-Taw4 were abnormal that it is also likely that his Mut-Bic2 would be abnormal as well so i selected closer to that choice.",40,"1: male",NA,-3
"Y3ooqscU6wDF",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"As we havent tested for LIAN yet, it is still just as likely they have either illness.",36,"1: male",NA,0
"j51MUiXH2VJC",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",2,4,"Because at this moment one has been proven while the other has not, the likely cause may change at a later date when we know more",43,"1: male",NA,-1
"hhZ0JUmQ1qUc",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",2,5,"both variations have gludon levels, though the twa4 has abnormal levels of lian is undisclosed at this stage",49,"1: male",NA,0
"8yxbgUVHzst1",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"It was stated that a person is equally likely to have both mutations. ",40,"2: female",NA,0
"3DReKm6XageL",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"The mutations are equally as likely and both cause the results seen. Without further testing we can't determine which is the reason",39,"2: female",NA,0
"4JbpchZ87oYY",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"It stated that it was likely for an individual to have the MutTaw gene if they have the MutBic gene so it would follow that it would be vice versa.",28,"2: female",NA,0
"6aa1aJ30MraZ",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both of the mutations cause abnormal gludon blood levels so for me it feels 50/50 and like a fair chance overall really",31,"2: female",NA,0
"RNjMMXrp9ZB3",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"If they occur with equal frequency, then without testing for Lidan levels we cannot tell which is the cause.",55,"1: male",NA,0
"UdXfNplwXrf7",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"both mutations cause abnormal Gludon so they are equally likely to be the cause since we don;t know if there is abnormal Lian which would point towards mut-taw4",36,"2: female",NA,0
"SR5FdEWu20Gp",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both conditions are equally likely to occur so could be either",43,"2: female","No issues",0
"Sk1pm5abvWQ5",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both of them cause abnormal Gludon blood levels, so knowing that they have abnormal levels means it could be either of them. And they are both equally likely to occur in a person. Without knowing more, there's an equal chance of it being either of them.",27,"1: male",NA,0
"9mgorCohzEcs",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both mutations are equally as likely to occur so there is a 50/50 chance of the patient having both types of mutations.",52,"2: female","None",0
"ufHugdNsCk5c",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both as likely and no way to know for sure until check the lian levels
",36,"1: male",NA,0
"veH9F8P4SuC3",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,1,"The chances are still fairly low the both cases will be evident, so I think it's likely that only the first will be found.",49,"1: male","no problems",-4
"3ehlTzLllUyr",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both genes are of equal prevalence, and the only symptom currently known is characteristic of both.",42,"1: male",NA,0
"gOS5kXAE3YZL",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"most equally likely",34,"2: female",NA,0
"UhFPnsrLKEOE",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both conditions affect Gludon levels and are equally likely to occur in the population, so are both equally likely in this situation.",22,"2: female","N/A",0
"3kHhJi9i6Rjb",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,4,"Not exactly clear that the person would have abnormal Lian  blood levels, but perhaps slightly more likely",56,"1: male",NA,-1
"3UycF6irYw9j",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",2,5,"If the person has one they are as likely to have the second disorder",52,"1: male",NA,0
"RKQnzwM51ojP",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",3,5,"it says they are both equally liker to accure in a person",27,"2: female",NA,0
"6MFw7mYEtIpR",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"As both are equally occurring, and both effect that specific gene, there should be a 50 / 50 chance that the Lian is also affected.",37,"1: male","no errors",0
"2eH1UPoykIWV",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"As abnormal Gludon levels are a sympton of both strains it is equally likely to be either physiological alteration you would need the Lian result to be sure",50,"2: female","None that I personally came across",0
"pRalX5a3nLS3",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"you said you don't yet know which indicates you haven't yet looked.",32,"1: male","none",0
"28U4LTHHu1mD",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"I think it is very difficult to estimate given the information and the size of the pool, therefore I estimated equal",23,"1: male",NA,0
"InQtvXSTRqEh",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,2,"As we are not yet sure that he has reduced Lian levels, I decided to put it as more likely to be the BIC mutation as there is no evidence that there are reduced Lian levels yet.",23,"2: female",NA,-3
"j6pcKTxzBGpu",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Since there is an equal chance of each of the Bic2 or Taw4 mutations occuring, and since both cause abnormal Gludon blood levels, only knowing that a patient has abnormal Gludon levels cannot determine whether or not this is due to a Bic2 or Taw4 mutation.",34,"2: female","N/A",0
"1OWMEutqwisk",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"I must admit the jargon is quite hard to remember and recall properly, but I think that both are equally likely, if someone has one, the n they are as likely to have both?",60,"1: male","None",0
"IwfW0St1cI3m",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"I was told that it could be equally likely for a patient to have either.",50,"2: female",NA,0
"w6B2DzBYrENl",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,2,"A person has an equal chance of Bic2 or Taw4. Therefore having Gludon does not automatically mean someone also has Lian.",57,"1: male",NA,-3
"4J5xcJSpWJUU",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"MutBic 2 and MutTaw 4 are equally likely to occur in a human, thats the reason for my answer.",58,"2: female","All was 100%.  Thank you",0
"ZjkgU7aGr2Bf",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both cause the gludon abnormalities so could be either, if they dont have the ludon then it will be the first, if they do then the second",32,"2: female","none",0
"m7dUdRoUxkXy",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,7,"It was just a judgement made based on the facts given in the write up.",37,"1: male",NA,2
"Li8FhaQbOu6c",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both mutations are equally likely to happen in each person",50,"2: female",NA,0
"BR13Q2YEAO6N",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,5,"If someone has Mut-bic2 then there is a high chance that they have Mut-taw as well, so both results would be possible",42,"2: female",NA,0
"75hLrjrI0gw6",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,1,"Mut-Bic2 always causes abnormal Gludon blood levels and so far no abnormal Lian blood levels have shon in the patient.",60,"2: female","None ",-4
"zDhce9N7P6Du",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,5,"Equal chance of having both mutations simultaneously.",28,"1: male",NA,0
"clGHI1VcJnRy",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,5,"Both would be detrimental",40,"2: female","The study was laid out well and easy to understand.",0
"HH8NRUL6oMYQ",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,4,"There is a chance that the patient would have both abnormal levels so although they have effectively always got one illness if they have both",36,"2: female",NA,-1
"mMWABFwWvjtM",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,5,"the number of people in the general population who have Mut-Bic2 is the same as the number of people who have Mut-Taw4.",56,"2: female",NA,0
"r7lVxbRegwhS",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,5,"They're both likely to occur which means there's a 50% chance that the person also has mut-taw which in turn may provide some additional opportunities to learn about the effects of not only the change in bloods that is consistent with both mutant genes, but also the additional lian altercation",29,"1: male",NA,0
"6Qu9DiFAZcCJ",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,5,"if you get gludon you can get Bic 2 and 4 and doesn't necessarily mean you get Liam. Getting a result of one is satisfying because you know your blood levels for both. ",33,"2: female",NA,0
"odFcuZ1IY6xY",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,2,"nothing else has been discovered yet, only one mutation is better than two",44,"2: female","none",-3
"DhzE8x7XKytb",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,5,"It is unclear yet whether the patient has elevated Lian levels. Until we know this information, it is equally likely that they would have Muc-taw or Muc-bin because they are equally prevalent in the population and both present with elevated levels of Glubin(?)",26,"3: non-binary",NA,0
"63u2GYqOhfkG",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,2,"Considering the patient already has abnormal Gludon blood levels, it is fair to say that they have Mut-Bic2 and that there is still a possablity they have Mut-Taw4",21,"1: male","n/a",-3
"1EygCJ1YuSbG",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,2,"Because it only alters one aspect rather than a mutation of two
",23,"2: female",NA,-3
"ctAwUEMPjwdi",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,5,"Now that I think about it, I think I would side more towards the Taw one because if they were diagnosed with the other, it wouldn't be as satisfying because the case wouldn't have been examined properly and we wouldn't know if the levels of the non-examined issue were normal. ",29,"1: male",NA,0
"N3EhQSwxcQNk",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,5,"The patient shows increased Gluden levels, so we can only guess that he has either Mut-bic 2 or Mut taw 4, as both of these mutations cause increased Gluden. Therefore I marked the slider in the middle, to represent equal probability.",57,"1: male","N/A.",0
"npIYvwhbqVH4",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,5,"I believe the chances are even. This is why I chose my answer.",55,"1: male","No issues",0
"1yTTVIq4llCi",3,"1: I confirm","1: I will take it seriously","narrow_left","satisfaction_would",1,1,"because we know for sure he has abnormal gludon",55,"1: male",NA,-4
