"subj_code","condition","desktop_conf","attent_conf","scale_orient","DV_rating","Story","LatentF","explanation","narrow_check","broad_check","age","gender","tech_issues","narrow_correct","broad_correct"
"p8OsknT0FbsY",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","Because both types of Desert Daisy have a pearly white blossom and has an equal chance of appearing, there is no way of knowing for sure which type it is, which means there is a 50/50 chance of it being either type.",2,3,28,"1: male",NA,"correct","correct"
"pGY82FHYOcbw",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","the previous information said they look the same and have an equal chance of occurring hence i wrote 50/50 chance ",2,3,44,"2: female","no problems I was aware of ","correct","correct"
"SrhuJ4Blym0s",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","If both sub types of Desert Daisy occur equally as often and both have a pearly white blossom, then 50/50 chance of seeing either seems likely to me.",2,3,40,"2: female","None.","correct","correct"
"ta3xSNBLoLSi",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","well it is a 50% chance it could be either plan therefore odds are 2:1",2,3,47,"2: female",NA,"correct","correct"
"tiXnYEdbQC3W",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","It's impossible to tell, as visually they will both look the same.",2,3,41,"2: female",NA,"correct","correct"
"V3b3rAXcbGPc",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","I will be at the middle because I cannot point out the motives of the Daisy at face value.",2,3,34,"1: male",NA,"correct","correct"
"VfelQ1l1z7Uh",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","Unfortunately, it's impossible to determine whether the Desert Daisy you've come across is Type A or Type B based solely on its pearly white blossom. Both subtypes of the Desert Daisy have a pearly white blossom, so visual inspection alone cannot differentiate them.

To determine if the Desert Daisy you've encountered is Type A or Type B, you would need to examine its stem. If the stem contains a venomous liquid, then it's a Type B Desert Daisy. If there's no venomous liquid present, then it's a Type A Desert Daisy.",2,3,41,"1: male",NA,"correct","correct"
"zmeedjhbqSP5",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","I think it is equally likely that the plant could be either safe or harmful, since they appear in equal numbers and you cannot tell them apart just by looking at them.",2,3,38,"1: male",NA,"correct","correct"
"3Bvb4MQRYsJk",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","In the description, it mentions that both type appear the same frequency, therefore this particular type could be either.",2,3,43,"1: male","none","correct","correct"
"6BFCPomhtykY",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","It said in the original scenario that each Desert Daisy was likely to be found equally, so it was a 50/50 split",2,3,58,"1: male","None","correct","correct"
"C55d6ZWFUq0i",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","dont think you can tell the diference between the two of them just by looking at the flowers and as they  both may occur equally, I assume there is a 50/50 chance it will be the poisonous one",2,3,62,"2: female","I didnt notice any","correct","correct"
"CkqbgjcWlBpF",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","Both plants have pearly white blossom, and no other distinguishing features, so there is a 50/50 chance of it being poisonous or non-poisonous. ",2,3,71,"2: female","I did not come across any errors.","correct","correct"
"csJF7aWkOiJK",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","The both has a Desert Daisy that has a pearly white blossom, but you don't know whether it also has the venomous liquid in its stem or not.",2,3,35,"1: male","None","correct","correct"
"Ehts7wqf6FZh",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","It said that they both were equal in numbers and looked the same.",2,3,36,"2: female",NA,"correct","correct"
"hbOIzj53qCKh",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","They both look the same. We would need to check the stem fludi but could be dangerous.",2,3,36,"1: male","na","correct","correct"
"jHph1xKFCAyB",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","No numbers or specifics were given so it is not practical to tell the probabilities.",2,3,22,"1: male",NA,"correct","correct"
"jItIrtzxtd75",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","The description said that when picking a daisy blossom, there was no way of telling if it was type A or type B daisy",2,3,21,"1: male","no errors","correct","correct"
"K30RmV7OYAHs",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","Both desert daisy's appear equally as often and both have a pearly white blossom so they look the same. The venom is in the stem, I don't think it is possible to know the difference.",2,3,27,"1: male",NA,"correct","correct"
"lem66waOlLIC",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","Although the desart dasy A is new I may not be able to tell by looking at it if it has the venomous stem so thats why I gave it a 50/50 rating.",2,3,58,"1: male","None that I could see.","correct","correct"
"mJmE1blidzFD",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","Since both flowers appear to be the same, I have no way of knowing which desert daisy it is.",2,3,40,"1: male",NA,"correct","correct"
"mKlx4eakUoAS",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","It said both types are equally as likely to occur, that means type A and B are 50/50 chance, given that one type is venomous and that they are both equally likely to occur, i would say it is equally likely to be venomous",2,3,21,"1: male","none","correct","correct"
"MPRC3rxSR0FT",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","They both occur equally as often, they both have pearly white flowers. The only difference is the venom in the stem. You would have to cut it open to tell. Since they are equally occurring then there is a 50% chance it could be either daisy.",2,3,49,"2: female","None.","correct","correct"
"ssaGMOy1DvRq",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","Since it was the color that was mentioned and the both flowers have the same colors, i concluded that it could be any of them",2,3,29,"1: male","There was no technical error","correct","correct"
"uKKaOrnJPWlf",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","Its just a guess because we dont know enough about where each plant grows, growing conditions etc",2,3,34,"1: male",NA,"correct","correct"
"V5D8tC7MsMcz",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","Both have a white blossom",2,3,37,"1: male",NA,"correct","correct"
"VOXUas8TcmA0",4,"1: I confirm","1: I will take it seriously","narrow_right",1,"daisy","invisible","i rated type b because one needs to be careful of the venomous type and should not take chances",2,3,36,"1: male",NA,"correct","correct"
"XpyBt9mCcv9p",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","Since it has the same outside look I have no idea if the flower is poisonous or not.",2,3,26,"3: non-binary","None","correct","correct"
"XqQ3AedLt96E",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","There was no indication given as to whether it was of the non-venomous variety or of the venomous variety. All of the information that I was given could be applied to either variety, so it was fifty-fifty as to which one it was.",2,3,42,"1: male","N/A","correct","correct"
"ziYNYnYtQkSS",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","invisible","it is a fifty fifty chance of either plant",2,3,26,"1: male","no errors","correct","correct"
"0uSE55K72H5h",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","not sure why you can't see the yellow margin but as both occur equally often it is a 50:50 choice",2,1,45,"2: female",NA,"correct","correct"
"1sMR0Jd4Ulgi",5,"1: I confirm","1: I will take it seriously","narrow_left",2,"stamp","visible","The person must have seen a yellow margin if there was one, but I gave this rating in case he missed it.",2,1,60,"1: male",NA,"correct","correct"
"7QgRupQHkCbQ",5,"1: I confirm","1: I will take it seriously","narrow_left",2,"stamp","visible","If you cannot see a yellow boarder on the stamp it is more likely to be stamp a ",2,1,50,"2: female",NA,"correct","correct"
"9eXuOIx2HQqd",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","I was told that types A and B are equally likely, so therefore selected 50% chance.",2,1,59,"1: male",NA,"correct","correct"
"BJ8Cqe5JjP3u",5,"1: I confirm","1: I will take it seriously","narrow_left",3,"stamp","visible","I would think that if it had the yellow margin, I'd see it, but perhaps it is old or postmarked in a way that makes it hard to see. I therefore rated it more like to not have the border.",2,1,60,"1: male",NA,"correct","correct"
"ElBffCUPB8ys",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","The chances of both were 50/50 and it was unknown if it had a yellow background.",2,1,35,"1: male","Interesting study. Thanks for letting me take part.","correct","correct"
"FPTEHunFf1Rx",5,"1: I confirm","1: I will take it seriously","narrow_left",2,"stamp","visible","If there was clearly a yellow margin one would be able to see it? So making the chances of it being type b less but not impossible as maybe it has faded.",2,1,29,"2: female","""on a fleamarket"" was it? I can't remember exactly but I can recall thinking it was incorrect english.","correct","correct"
"GCcgz0IqZJqD",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","It could be either of them. It's impossible to tell",2,1,37,"2: female",NA,"correct","correct"
"GMmSAC9zyDwO",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","It just said that type A and type B are equally likely. So I chose 50/50 as my answer",2,1,29,"1: male","None","correct","correct"
"ivxb2WeRxTLk",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","You dont know if it has a yellow margin so it has equal chance of being type a and type b.",2,1,33,"1: male",NA,"correct","correct"
"JsxuQIIV5jag",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","All I know is that it is ultramarine, it may have the margin, but the description did not state either way, therefore it's 50/50, also they occur at the same frequency",2,1,65,"1: male","None","correct","correct"
"JzwzNrhOPBkA",5,"1: I confirm","1: I will take it seriously","narrow_left",3,"stamp","visible","I must have seen the stamp but was uncertain of the margin. Either the margin was damaged or removed / covered up or faded, or its type A. Its more likely its Type A as something would of had to have happend to a type b stamp to effect the margin. All type A stamps have no margin, some damaged type B stamps have no margin.",2,1,29,"1: male",NA,"correct","correct"
"lawEJvhQGJNx",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","The stamps occur equally often. I can see that it's definitely the Queen of the Caribbean stamp, but I can't tell whether or not it has a yellow edging, which is the only thing that sets them apart. Therefore there's a 50% chance that it is either A or B.",2,1,42,"2: female",NA,"correct","correct"
"lZQwAnVk6SsH",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","If they occur at the same rate than it's a 50/50 chance which one it is. Although I don't see how I can't tell if I'm actually looking at it.",2,1,39,"2: female",NA,"correct","correct"
"MRjDXCLPolnF",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","If you aren’t sure re the outline then it has to be 50/50",2,1,57,"2: female",NA,"correct","correct"
"nmUbMd5D9z9V",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","Without knowing the colour of the margin it is impossible to say with any certainty which type the stamp would be, so I believe it would be a 50/50 chance.",2,1,37,"2: female","None","correct","correct"
"qwZpPGrra2Ei",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","It seemed at first like it might be some sort of trick question as I didn't (and still don't) understand how you can be physically holding the postcard and able to see the type of stamp, but not be able to discern whether or not it has a yellow border?! But suspending disbelief about that for the moment, if there's literally no way of knowing if it does or not then it is just as likely to be either type A or B, as it says in the description that both types are equally distributed.",2,1,36,"2: female","None :)","correct","correct"
"rElCVlK8PEWt",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"stamp","visible","The information said both are equally rare, so there's an equal chance it either has the yellow strip or doesn't",2,1,31,"1: male",NA,"correct","correct"
"ROa5J9mBsCn7",5,"1: I confirm","1: I will take it seriously","narrow_left",9,"stamp","visible","The description mentioned about the yellow line part, so I chose the descion ",2,1,46,"1: male","no","correct","correct"
"TDurF5VWZUJc",5,"1: I confirm","1: I will take it seriously","narrow_left",4,"stamp","visible","If I am not sure if there is a yellow margin, I would lean slightly more to Type A, however it could be that I do not know what type of yellow margin is on a Type B, or the margin is very thin and I've overlooked this. More information is required to make a confirmed decision. ",2,1,36,"2: female",NA,"correct","correct"
"ZwrBTUHoxrmi",5,"1: I confirm","1: I will take it seriously","narrow_left",2,"stamp","visible","Yellow is a noticeable colour, so you would be aware of a yellow margin on the stamp. ",2,1,31,"2: female",NA,"correct","correct"
"2JIUK74tzxoh",6,"1: I confirm","1: I will take it seriously","narrow_right",5,"stamp","visible","Said that it is a queen of tbe Caribbean as there are only two types it must be one or the other so 50:50",2,1,40,"1: male",NA,"correct","correct"
"A4ShOhVWXuJv",6,"1: I confirm","1: I will take it seriously","narrow_right",5,"stamp","visible","I think both are equally likely because it is definitely ultramarine, and we are unsure about whether it has a yellow border. Therefore, it's equally likely that it does have the yellow border or doesn't have the yellow border.",2,1,22,"2: female",NA,"correct","correct"
"BS994vceKjgQ",6,"1: I confirm","1: I will take it seriously","narrow_right",5,"stamp","visible","Given that both types are equally common and that there's no way to know if there are any other contributing factors at the flea market, it seems to me that there's no reason for the probability to have changed from 50:50.",2,1,18,"1: male",NA,"correct","correct"
"BWspzoBoUWql",6,"1: I confirm","1: I will take it seriously","narrow_right",5,"stamp","visible","Without definitively seeing the yellow margin, the odds are fairly equal - you can't confirm either way.",2,1,31,"2: female",NA,"correct","correct"
"CupzhWXzMVF3",6,"1: I confirm","1: I will take it seriously","narrow_right",7,"stamp","visible","I personally think that if you can't confirm whether it has the yellow on it, this means that it does not and therefore, belong sto the other category. ",2,1,25,"2: female","N/A","correct","correct"
"DRU8Xtr1KvSZ",6,"1: I confirm","1: I will take it seriously","narrow_right",5,"stamp","visible","Based on the description it sounds like a little of both",2,1,28,"2: female",NA,"correct","correct"
"DvZthwcAUux8",6,"1: I confirm","1: I will take it seriously","narrow_right",5,"stamp","visible","I believe that both types occur equally often, so without knowing if it has the yellow margin it is impossible to say",2,1,31,"2: female",NA,"correct","correct"
"eH951sWmCXLW",6,"1: I confirm","1: I will take it seriously","narrow_right",5,"stamp","visible","I know that the stamp has a yellow margin half of the time, so I chose the 50:50 option because it's equally likely to be either one.",2,1,32,"2: female","No issues were found.","correct","correct"
"Hdd7fYX2e6ad",6,"1: I confirm","1: I will take it seriously","narrow_right",5,"stamp","visible","Because there are equal numbers produced. IF your'e unsure it's likel to be damaged in some way that is not allowing you to make a decision about the border. ",2,1,33,"2: female","n/a","correct","correct"
"jYwlMyr2xqhM",6,"1: I confirm","1: I will take it seriously","narrow_right",8,"stamp","visible","I think if I am unsure there is a yellow margin, the stamp is more likely to be type A. But not 100% sure because it is unclear whether or not there is a yellow margin. ",2,1,31,"2: female","'flee market' spelling is incorrect ","correct","correct"
"kA7FHyJo1Ed1",6,"1: I confirm","1: I will take it seriously","narrow_right",5,"stamp","visible","I have no idea whether type A or B is most likely, so I chose to say it was 50/50.",2,1,29,"1: male","None","correct","correct"
