subj_code;explanation2;indifferent if possible;inferred absence of latent feature due to good visibility;inferred absence due to presentation of information;inferred absence of latent feature;rating_rec;Features;Knowledge
b1sVpCE209Be;Hunter.;;;;;narrow;spearNet;noInfo
bKaOHR12djGi;We know the tribesman carries a spear, but it is unspecified as to whether they have a net or not. Given this would be the difference between a hunter and a fisherman, I have assumed that they do *not* have a net, thus are a hunter.;;;1;1;narrow;spearNet;noInfo
ChM61lw6yr8G;a hunter;;;;;narrow;spearNet;noInfo
FabRrj75P4eB;I think that the fisherman would be more likely to have a spear at all times because they are specifically called spear fishermen.;;;;;broad;spearNet;noInfo
gn8V9bi0m0Tf;I would of said there isn't enough information on which tribe they belong to since they both carry a spear;1;;;;narrow;spearNet;noInfo
h7A0QCWpzRkI;I would have written that its either, because there is a 50/50 percent chance;1;;;;narrow;spearNet;noInfo
hPX2pdaIth1b;I think the tribesman would more likely be a hunter as it said he was carrying a spear and did not mention a net;;;;;narrow;spearNet;noInfo
ioTCMu55JoOT;I think that there would be more hunters in the Amazon than fisherman, as not sure how many tribes survive on fish in the Amazon.  I think there maybe more people surviving by hunting animals.;;;;;narrow;spearNet;noInfo
IXW93icsBr0N;going on probablility if he was a fisherman he may have had a net with him;;;1;1;narrow;spearNet;noInfo
jKh1GGy1Oyle;It is equally likely they are a hunter or fisherman.;1;;;;narrow;spearNet;noInfo
jNq6uAJrbMxF;Hunter;;;;;narrow;spearNet;noInfo
lSOXsQz3KOMu;More likely to be a hunter as they were carrying a spear but equally that sentence could have omitted (and a net);;;;;narrow;spearNet;noInfo
M8eEbMozTGK5;Can't tell. But as only two choices and only mention of a spear, not a spear and net, had to go for hunter. He could have just not had his net with him though and could be a fisherman.;1;;1;1;narrow;spearNet;noInfo
NeFjXuGKrgY1;He has a spear;;;;;narrow;spearNet;noInfo
OjlO2SLsKFMD;I would have said hunter;;;;;narrow;spearNet;noInfo
4gpG7iyv1SXb;hunter;;;;;narrow;spearNet;notKnow
6wgTsrI77Fkr;I would have written that he was mostly likely a hunter as his net wasn't obviously visible.;;1;;1;narrow;spearNet;notKnow
6Yi3PWffRJsH;fisherman;;;;;broad;spearNet;notKnow
ayJs3uURmZlP;50% chance of either ,but that wasnt an option. i choose hunter because that is an naural default position for me;1;;;;narrow;spearNet;notKnow
Ci8caKGxNFig;I believe the tribesman was more likely to be a fisherman as we are sure that the fisherman carries a spear. Their is no mention in regards to the hunter owning a spear.;;;;;broad;spearNet;notKnow
DiSSyr1zpYbh;It is difficult to know but if you cannot see that he has a net then I would be inclined to err on the side that the tribesman does not have a net;;1;;1;narrow;spearNet;notKnow
dn6dVG61q50k;I still would of written hunter because a fisherman for certain would of had a net.;;;1;1;narrow;spearNet;notKnow
GDJudGkvhZYu;A hunter, on the basis that I did not see a net. Which might mean that the net has been laid down or is out of sight, but also might mean that he has no net. It is the only basis upon which I could see to make a judgement.;;1;;1;narrow;spearNet;notKnow
ILcR9pwbsVPq;Both possibilities seem equally likely, as the information (they have a spear) matches both the spearfishers and the hunters. I selected it is more likely a hunter though, as you are unsure whether they have a net, meaning it is slightly likely that there isn't one, as it is not visible.;1;1;;1;narrow;spearNet;notKnow
it2K68E6JTsk;hunter;;;;;narrow;spearNet;notKnow
nfMvw8MzF2Yu;Hunter;;;;;narrow;spearNet;notKnow
Sxn6VgDxOyXt;I think i'd hazard a guess at him being a fisherman. There is 50% chance he is a hunter. However all fishermen have spears to, for some reason in my head that gives him ma 75% chance of being a fisherman?;1;;;;broad;spearNet;notKnow
TcWfje7vqcHV;I would have said that the man was more likely to be a fisherman.;;;;;broad;spearNet;notKnow
tDL2cOaOuhWp;I think I'd have gone in the middle 50/50 chance;1;;;;narrow;spearNet;notKnow
TQMceLbLalxU;That there wasn't enough information to make an accurate decision and I went with a 50/50 chance.;1;;;;narrow;spearNet;notKnow
uHFYKVc4A5kw;I would have said I was only 50% sure;1;;;;narrow;spearNet;notKnow
V8vyK9y8ExNl;It would be impossible to tell if the tribesman was a hunter of fisherman.;1;;;;broad;spearNet;notKnow
W069WBcYs0Ww;i would have chosen hunter because a spear fisherman would likely be near water which it didnt mention;;;1;1;narrow;spearNet;notKnow
WFopOUJNhSNT;hunter;;;;;narrow;spearNet;notKnow
wL8v1MkdIqx9;More likely a hunter.;;;;;narrow;spearNet;notKnow
1yo2igTxBoXD;I would say he is a Hunter due to not having a net so based on averages I am saying a hunter;;;;1;narrow;spearNet;notKnow
2F4BGTfpqp7k;More likely a hunter because there is no indication he has a net;;;;1;narrow;spearNet;notKnow
4mgYwKt9X8BW;More likely a hunter;;;;;narrow;spearNet;notKnow
4RZON8waX76v;I would assume he was a hunter. I can see the spear but I cannot see a net, so hunter would be the obvious assumption (to me).;;1;;1;narrow;spearNet;notKnow
7mlmP68571eV;I would have wrote it was more likely to be a hunter as it was not obvious that they had a net.;;;;;narrow;spearNet;notKnow
9b4P9llu39wX;"I would have said ""don't know"". If forced to choose I would have said the tribesman was more likely a hunter on the basis that I couldn't actually see a net but could see a spear.";1;1;;1;narrow;spearNet;notKnow
AUe06K7n5jhs;A hunter as I would of thought if fisherman I would have been able to see the net;;1;;1;narrow;spearNet;notKnow
D2dOrMeSkHda;Every Tokolo tribe member carries a spear, whether or not they are a hunter or a fisherman. As 50% are hunters & 50% are fisherman there is only a 50/50 chance of the tribesman being a hunter.;1;;;;narrow;spearNet;notKnow
D6ZP6zW7Moji;fisherman;;;;;broad;spearNet;notKnow
dKIObRECouRR;Without any further information it is hard to reason either way. It's a 50/50 shot so I could easily pick both.;1;;;;narrow;spearNet;notKnow
eusvvEIRjr1v;Because I have come across him he must be in front of me and if I can't see an obvious net I am going to assume he doesn't have one and therefore is a hunter;;1;;1;narrow;spearNet;notKnow
g7gUnl2QMVaq;I'm not sure. it was a guess;;;;;broad;spearNet;notKnow
gJDgEm5Cl3kg;A net would have been visible;;1;;1;narrow;spearNet;notKnow
gX2eLVb1Sngx;more likely hunter if he was not by the river;;;;;narrow;spearNet;notKnow
jBmmZ6h8Nt8g;I would quickly assume that the tribesperson is a hunter because I can't see their net. I could not be completely sure until I saw them walking around with all their equipment but I think it would be a fair logical assumption.;;;;;narrow;spearNet;notKnow
jXum0E53Tr2B;A net should be visible, and while a hunter carries the right equipment to also be a spearfisherman, the spearfisherman needs a net to differentiate him/herself from the hunter;;1;;1;narrow;spearNet;notKnow
l86gdAjRY8ov;Either, he may have a net but we don't know;;;;;narrow;spearNet;notKnow
Nhh31qstgY33;I would have written that he could be either but perhaps more likely a hunter.;1;;;;narrow;spearNet;notKnow
nVEjDP5TlMtw;I'm unsure, I would need context clues. If he had a bag I'd probably say fisherman as the net could be in that but if he just had a spear, I would then say hunter.;1;;;;broad;spearNet;notKnow
oqXhRe7bKTMg;Half the tribesmen carry a net. If i dont know he has a net then it would be likely that you would see a fishermans net if he was carrying it;;1;;1;narrow;spearNet;notKnow
6o7777nJTsCC;hunter;;;;;narrow;featherTooth;noInfo
76fLyZ7G1xHF;I would have typed Hunter;;;;;narrow;featherTooth;noInfo
7jRZ3p91c39L;I think it is more likely that I would encounter a tribesman who was a hunter because I think that fishermen are also hunters as they hunt for food or a subset of hunters. Based on the description it would appear that there is little noticeable difference in the attire of the hunters and the fishermen, therefore I would probably assume they are more or less the same if I saw them.;;;;;narrow;featherTooth;noInfo
DeNCuXfnt2QR;Hunter;;;;;narrow;featherTooth;noInfo
dPEKaNCzIWcL;Hunter;;;;;narrow;featherTooth;noInfo
DZlYEPqjK7Me;tribesman was more likely a hunter;;;;;narrow;featherTooth;noInfo
HQtaVoRWeWXF;I would have written that I would need more information, both the tribesman and the hunter wear headdresses;1;;;;narrow;featherTooth;noInfo
HUMjvSbxa1CG;fisherman;;;;;broad;featherTooth;noInfo
jDBJBSiLQIRV;hunter;;;;;narrow;featherTooth;noInfo
LJD1UayuNYQi;more likely a hunter because a gold tooth wasnt mentioned;;;1;1;narrow;featherTooth;noInfo
mcISnTK7VJUy;A hunter;;;;;narrow;featherTooth;noInfo
ouU8MDt9cvZ7;There is exactly equal chance that the tribesman is a hunter or a fisherman - no way of knowing which unless we look in his/her mouth;1;;;;narrow;featherTooth;noInfo
QBhshLLTzUr0;i would have written he could be either, as both fishermen and hunters wear colourful headdresses;1;;;;narrow;featherTooth;noInfo
QYiMk590BCDu;a hunter;;;;;narrow;featherTooth;noInfo
sazdn3T85zhu;I would have thought that if it were a fisherman it would have mentioned the golden molar tooth as well as (or instead) of the headdress. Therefore, I lean towards it being a hunter, but it could have been either. I would say that I would be 70% confident that it was a hunter, so by no means a certainty.;;;1;1;narrow;featherTooth;noInfo
tOqaJPnTWzd7;50/50 chance without further information - either sight of the tooth or coming across them doing the actual activity - hunting/fishing. Choice of hunter was made on 50/50 plus Latin languages read from left to right and the choice of hunter was on the left.;1;;;;narrow;featherTooth;noInfo
Vf6JUfoNKGpS;Hunter;;;;;narrow;featherTooth;noInfo
Vihd2NajnJfY;it will either be Hunter or a fisherman. The probability will be 1/2;1;;;;narrow;featherTooth;noInfo
VQWqzkEAxjrd;a spear fisherman;;;;;broad;featherTooth;noInfo
WdBZ7y7pXuh0;I would have written hunter.;;;;;narrow;featherTooth;noInfo
9lTGW8qBVXxF;Its a 50/50 chance on first sight, but i assume he is not showing teeth and his teeth are normal so more likelyl to be hunter;1;;;;narrow;featherTooth;noInfo
Agdu56AibHQR;Based on the information you provided, if a tribesman wears a colorful feathered headdress, it is more likely that they belong to the group of hunters or spear fisherman. However, without further information, it is impossible to determine with certainty which group they belong to, as both hunters and spear fisherman wear the same type of headdress. The only way to differentiate between the two groups is if the tribesman also has a golden molar tooth, which would indicate that they are a spear fisherman.;1;;;;broad;featherTooth;noInfo
BBoiF3rR2HbK;The two options are equally likely as you have not been told about the person's teeth.;1;;;;broad;featherTooth;noInfo
BPk3siYWCoah;I would have said it would be 50/50, as unless the tribesman opened his mouth, or it stated he was carrying a spear, then you wouldn't know much as if he were to be a fisherman or not as both wear headdresses based on the info given.;1;;;;narrow;featherTooth;noInfo
DepMUs4oskT5;Fisherman;;;;;broad;featherTooth;noInfo
dJbiAMMBb7Z4;The tribesman was more likely a hunter.;;;;;narrow;featherTooth;noInfo
EDVLaN6ku7E9;I imagine I'm more likely to encounter a hunter given that the interaction is probably happening on land;;;;;narrow;featherTooth;noInfo
GaKoaiDyBoOp;Without being certain as to whether the individual is a hunter or fisherman, the immediate appearance of a feather head-dress would point towards the individual being a hunter and I would think so until I saw the golden molar.;;;;;narrow;featherTooth;noInfo
jHZid7NnYJWD;It would be impossible to say whether it was a hunter or fisherman by feathers alone.;1;;;;narrow;featherTooth;noInfo
km4iV9Do4Fwg;that i believe it would have been a hunter as it feels like they would be easier to come across;;;;;narrow;featherTooth;noInfo
LwazUlW6BtP9;if i couldnt see his teeth my first instinct would be hunter;;;;;narrow;featherTooth;noInfo
mlaElrKt0qXd;"I chose that because it said ""You come across"" the person. It's very hard to come across a hunter, so I picked a Spear Fisherman.";;;;;broad;featherTooth;noInfo
MYMIXNtKxHFO;Hunter;;;;;narrow;featherTooth;noInfo
q2eDjaBtR9Gs;I think it may be more likely to be a hunter;;;;;narrow;featherTooth;noInfo
QeIr0qWa6ONK;Its impossible to tell. They both wear headdresses;1;;;;narrow;featherTooth;noInfo
sq4RNMnijX87;Not enough information is given to make it more likely it was one rather than the other;1;;;;narrow;featherTooth;noInfo
SWcVRfbYDORV;It's impossible to determine for definite without knowing the information about the golden molar;1;;;;narrow;featherTooth;noInfo
UmNKW9iwuKe7;Hunter;;;;;narrow;featherTooth;noInfo
WowmxqyxMTIN;hunter;;;;;narrow;featherTooth;noInfo
zr07YVjCXK2k;Fisherman;;;;;broad;featherTooth;noInfo
0gXBesoub768;a hunter;;;;;narrow;featherTooth;notKnow
2cCjrvhga4ZK;I think the fisherman would be proud of his golden tooth and show it, if we can't see any golden tooth then it's probably a hunter;;;;1;narrow;featherTooth;notKnow
2xBWpMb5WDTc;i would lean towards hunter;;;;;narrow;featherTooth;notKnow
6hgQzwCmxKgO;I would say a hunter, because I am meeting them on land. There is a slightly bigger chance that the hunter is on land than the fisherman, who will sometimes be at sea, fishing.;;;;;narrow;featherTooth;notKnow
73Cjh8nPPcFR;I can't tell there's a 50/50 chance he could be either. I would have just had to take a punt on one of the either and had a 50% chance I was right.;1;;;;broad;featherTooth;notKnow
c9gD5yUMDEn8;A hunter;;;;;narrow;featherTooth;notKnow
cNzOIGGqMGcp;Fisherman;;;;;narrow;featherTooth;notKnow
dTjLqZ51NyPu;The tribesman could be either but since we cannot confirm his teeth, we are morelikely to be correct if we choose hunter.;1;;;;narrow;featherTooth;notKnow
hc1H24pLgndh;more likely a hunter;;;;;narrow;featherTooth;notKnow
iaZQfMBdtClK;No way of knowing. There would be an equal chance of him being either;1;;;;narrow;featherTooth;notKnow
iws2QOf8wbnz;Its a 50 percent chance either way, as we would require more information to make a good guess. So im going for hunter;1;;;;narrow;featherTooth;notKnow
mPhOvjhwJVJu;A hunter;;;;;narrow;featherTooth;notKnow
n2SUR1EHBG7u;I think the tribesman was a hunter;;;;;narrow;featherTooth;notKnow
N52v1NUt7p50;hunter;;;;;narrow;featherTooth;notKnow
O0UwLoqlsSCq;I have no idea, and think it's a 50/50 choice. However if you suppose fishermen spend a certain amount of time in the sea, then I am more likely to bump into a hunter - therefore I chose hunter.;1;;;;narrow;featherTooth;notKnow
OiBJZNGhNyxm;hunter;;;;;narrow;featherTooth;notKnow
p5v9DAuPyX3t;I could not guarantee that the tribesman was more likely to be a fisherman because of not knowing if they had a golden molar, so I went with the hunter.;1;;;;narrow;featherTooth;notKnow
QvymPDwJFlVM;I would have chosen randomly, Hunter. If I was given more information, such as I saw him in the forest I would have said hunter, if it were on a beach I would have said fisherman. As it was with the limited information, my decision was random.;1;;;;narrow;featherTooth;notKnow
uXfc0cCICD7t;I would have stated that I think it was a fisherman. More factors/information would have been needed i.e. the gold molar tooth to make a correct decision but I went with fisherman as it was a tribesman that we came across. It doesn't mention fisherwomen so I went with the fact as it was a man there was more likely it might be a fisherman.;1;;;;broad;featherTooth;notKnow
zADuCgyheR8O;Hunter;;;;;narrow;featherTooth;notKnow
0lIPPBelvgOe;I would think the tribesman was more like to be a hunter as the only distinguishable factors in front of us were the hunters properties. As we couldn't see the gold molar tooth of the spear fishermen, you could only see that its a hunter.;;;;;narrow;featherTooth;notKnow
72e34Y3mS9ji;On the evidence I had given to me I would have to go for the hunter as there was nothing to show me that they person had a golden tooth. Its a 50/50 to guess;1;;;;narrow;featherTooth;notKnow
BvcYqrdC68xq;I would have written that it would have been impossible to tell and that there would be a 50/50 chance it could be a hunter or fisherman;1;;;;narrow;featherTooth;notKnow
kmOOeamsbuLO;until they opened their mouth, i would presume spear hunter;;;;;narrow;featherTooth;notKnow
lCe1T1EZSDwD;a hunter;;;;;narrow;featherTooth;notKnow
NlkREBnfmHkR;A hunter based on headdress and no knowledge of teeth;;;;;narrow;featherTooth;notKnow
No8Xf34rxQnS;Not enough information to make a decision so really whatever I choose is irrelevant;1;;;;narrow;featherTooth;notKnow
oj592nqfJzG1;I would say hunter as a golden tooth tends to be a prominent and noticeable feature, and the absence of this makes them more likely to be a hunter.;;;;1;narrow;featherTooth;notKnow
PBHODt0Jc34q;i would of written he was a hunter;;;;;narrow;featherTooth;notKnow
SEhvBhl0Tt5E;hunter;;;;;narrow;featherTooth;notKnow
TdPtryu2qapD;I would have written that, as there is a 50% chance that the tribesman was a hunter or fisherman and neither was more likely, I just opted for hunter and took a guess.;1;;;;narrow;featherTooth;notKnow
tNSK2bA2kvK8;I would have said that I couldn't tell due to both groups wearing headdresses but without being able to see if they had gold tooth there was no way of telling. Also no other information like where I met them i.e. near a river;1;;;;narrow;featherTooth;notKnow
ukDb6UGuhQ1S;hunter;;;;;narrow;featherTooth;notKnow
vLsZDUe1yPoN;I would have written that there was an even chance since I hadnt seen his teeth;1;;;;narrow;featherTooth;notKnow
vuMPNwf8zIRz;It is impossible to tell from the information given whether he is a hunter or  fisherman. He could equally be either.;1;;;;broad;featherTooth;notKnow
xA4ZYeVuKzVT;I think either option is equally likely but if I have to choose one or the other then I choose hunter because I think I am more likely to encounter them because fishermen would be out on the river or sea so I am less likely to meet them perhaps.;1;;;;narrow;featherTooth;notKnow
XMSx3wDUHLDl;I can't tell because whether or not he has a golden molar is hidden.;1;;;;narrow;featherTooth;notKnow
Xtclkab5rjct;I would've wrote hunter;;;;;narrow;featherTooth;notKnow
y4lGCCb1MxY0;It is a hunter as with fisherman I would have to see if they have a gold tooth.;;;;;narrow;featherTooth;notKnow
yi61VqotWPZY;With the information given, it's a 50-50 choice as the only difference is the golden molar tooth. I opted for hunter on the basis that if you had seen the golden tooth then you would know that it was a fisherman, so as you hadn't seen it, then it's more likely that they don't have the tooth, so it's a hunter.;1;1;;1;narrow;featherTooth;notKnow
