subj_code;explanation;different explanation ;no explanation or unclear;misunderstood scenario;indifferent if possible;inferred absence of latent feature due to good visibility;inferred absence due to presentation of information;inferred absence of latent feature;rating_rec;Features;Knowledge
gJDgEm5Cl3kg;A net would have been visible;;;;;1;;1;narrow;spearNet;notKnow
gX2eLVb1Sngx;more likely hunter if he was not by the river;1;;;;;;;narrow;spearNet;notKnow
jBmmZ6h8Nt8g;I would quickly assume that the tribesperson is a hunter because I can't see their net. I could not be completely sure until I saw them walking around with all their equipment but I think it would be a fair logical assumption.;;;;;1;;1;narrow;spearNet;notKnow
jXum0E53Tr2B;A net should be visible, and while a hunter carries the right equipment to also be a spearfisherman, the spearfisherman needs a net to differentiate him/herself from the hunter;;;;;1;;1;narrow;spearNet;notKnow
l86gdAjRY8ov;Either, he may have a net but we don't know;;;;1;;;;narrow;spearNet;notKnow
Nhh31qstgY33;I would have written that he could be either but perhaps more likely a hunter.;;;;1;;;;narrow;spearNet;notKnow
nVEjDP5TlMtw;I'm unsure, I would need context clues. If he had a bag I'd probably say fisherman as the net could be in that but if he just had a spear, I would then say hunter.;;;;1;;;;broad;spearNet;notKnow
oqXhRe7bKTMg;Half the tribesmen carry a net. If i dont know he has a net then it would be likely that you would see a fishermans net if he was carrying it;;;;;1;;1;narrow;spearNet;notKnow
0gXBesoub768;a hunter;;1;;;;;;narrow;featherTooth;notKnow
2cCjrvhga4ZK;I think the fisherman would be proud of his golden tooth and show it, if we can't see any golden tooth then it's probably a hunter;1;;;;;;1;narrow;featherTooth;notKnow
2xBWpMb5WDTc;i would lean towards hunter;;1;;;;;;narrow;featherTooth;notKnow
6hgQzwCmxKgO;I would say a hunter, because I am meeting them on land. There is a slightly bigger chance that the hunter is on land than the fisherman, who will sometimes be at sea, fishing.;1;;;;;;;narrow;featherTooth;notKnow
73Cjh8nPPcFR;I can't tell there's a 50/50 chance he could be either. I would have just had to take a punt on one of the either and had a 50% chance I was right.;;;;1;;;;broad;featherTooth;notKnow
c9gD5yUMDEn8;A hunter;;1;;;;;;narrow;featherTooth;notKnow
cNzOIGGqMGcp;Fisherman;;1;;;;;;narrow;featherTooth;notKnow
dTjLqZ51NyPu;The tribesman could be either but since we cannot confirm his teeth, we are morelikely to be correct if we choose hunter.;1;;;1;;;;narrow;featherTooth;notKnow
hc1H24pLgndh;more likely a hunter;;1;;;;;;narrow;featherTooth;notKnow
iaZQfMBdtClK;No way of knowing. There would be an equal chance of him being either;;;;1;;;;narrow;featherTooth;notKnow
iws2QOf8wbnz;Its a 50 percent chance either way, as we would require more information to make a good guess. So im going for hunter;;;;1;;;;narrow;featherTooth;notKnow
mPhOvjhwJVJu;A hunter;;1;;;;;;narrow;featherTooth;notKnow
n2SUR1EHBG7u;I think the tribesman was a hunter;;1;;;;;;narrow;featherTooth;notKnow
N52v1NUt7p50;hunter;;1;;;;;;narrow;featherTooth;notKnow
O0UwLoqlsSCq;I have no idea, and think it's a 50/50 choice. However if you suppose fishermen spend a certain amount of time in the sea, then I am more likely to bump into a hunter - therefore I chose hunter.;;;;1;;;;narrow;featherTooth;notKnow
OiBJZNGhNyxm;hunter;;1;;;;;;narrow;featherTooth;notKnow
p5v9DAuPyX3t;I could not guarantee that the tribesman was more likely to be a fisherman because of not knowing if they had a golden molar, so I went with the hunter.;;1;;;;;;narrow;featherTooth;notKnow
QvymPDwJFlVM;I would have chosen randomly, Hunter. If I was given more information, such as I saw him in the forest I would have said hunter, if it were on a beach I would have said fisherman. As it was with the limited information, my decision was random.;;;;1;;;;narrow;featherTooth;notKnow
uXfc0cCICD7t;I would have stated that I think it was a fisherman. More factors/information would have been needed i.e. the gold molar tooth to make a correct decision but I went with fisherman as it was a tribesman that we came across. It doesn't mention fisherwomen so I went with the fact as it was a man there was more likely it might be a fisherman.;;1;;;;;;broad;featherTooth;notKnow
zADuCgyheR8O;Hunter;;1;;;;;;narrow;featherTooth;notKnow
0lIPPBelvgOe;I would think the tribesman was more like to be a hunter as the only distinguishable factors in front of us were the hunters properties. As we couldn't see the gold molar tooth of the spear fishermen, you could only see that its a hunter.;;;1;;;;;narrow;featherTooth;notKnow
72e34Y3mS9ji;On the evidence I had given to me I would have to go for the hunter as there was nothing to show me that they person had a golden tooth. Its a 50/50 to guess;;;;1;;;;narrow;featherTooth;notKnow
BvcYqrdC68xq;I would have written that it would have been impossible to tell and that there would be a 50/50 chance it could be a hunter or fisherman;;;;1;;;;narrow;featherTooth;notKnow
kmOOeamsbuLO;until they opened their mouth, i would presume spear hunter;;;1;;;;;narrow;featherTooth;notKnow
lCe1T1EZSDwD;a hunter;;1;;;;;;narrow;featherTooth;notKnow
NlkREBnfmHkR;A hunter based on headdress and no knowledge of teeth;1;;;;;;;narrow;featherTooth;notKnow
No8Xf34rxQnS;Not enough information to make a decision so really whatever I choose is irrelevant;;;;1;;;;narrow;featherTooth;notKnow
oj592nqfJzG1;I would say hunter as a golden tooth tends to be a prominent and noticeable feature, and the absence of this makes them more likely to be a hunter.;;;;;1;;1;narrow;featherTooth;notKnow
PBHODt0Jc34q;i would of written he was a hunter;;1;;;;;;narrow;featherTooth;notKnow
SEhvBhl0Tt5E;hunter;;1;;;;;;narrow;featherTooth;notKnow
TdPtryu2qapD;I would have written that, as there is a 50% chance that the tribesman was a hunter or fisherman and neither was more likely, I just opted for hunter and took a guess.;;;;1;;;;narrow;featherTooth;notKnow
tNSK2bA2kvK8;I would have said that I couldn't tell due to both groups wearing headdresses but without being able to see if they had gold tooth there was no way of telling. Also no other information like where I met them i.e. near a river;;;;1;;;;narrow;featherTooth;notKnow
ukDb6UGuhQ1S;hunter;;1;;;;;;narrow;featherTooth;notKnow
vLsZDUe1yPoN;I would have written that there was an even chance since I hadnt seen his teeth;;;;1;;;;narrow;featherTooth;notKnow
vuMPNwf8zIRz;It is impossible to tell from the information given whether he is a hunter or  fisherman. He could equally be either.;;;;1;;;;broad;featherTooth;notKnow
xA4ZYeVuKzVT;I think either option is equally likely but if I have to choose one or the other then I choose hunter because I think I am more likely to encounter them because fishermen would be out on the river or sea so I am less likely to meet them perhaps.;1;;;1;;;;narrow;featherTooth;notKnow
XMSx3wDUHLDl;I can't tell because whether or not he has a golden molar is hidden.;;;;1;;;;narrow;featherTooth;notKnow
Xtclkab5rjct;I would've wrote hunter;;1;;;;;;narrow;featherTooth;notKnow
y4lGCCb1MxY0;It is a hunter as with fisherman I would have to see if they have a gold tooth.;1;;;;;;;narrow;featherTooth;notKnow
yi61VqotWPZY;With the information given, it's a 50-50 choice as the only difference is the golden molar tooth. I opted for hunter on the basis that if you had seen the golden tooth then you would know that it was a fisherman, so as you hadn't seen it, then it's more likely that they don't have the tooth, so it's a hunter.;;;;1;1;;1;narrow;featherTooth;notKnow
